exit_reason,r,exit_time,dodged,position_id,signal_time,his_r
wick,0.421,2026-05-08 14:15:00+00:00,False,UNIUSDT-2026-05-07-long,2026-05-06 23:34:43+00:00,1.36
stop,-1.0,2026-05-07 14:30:00+00:00,False,ETHUSDT-2026-05-07-long,2026-05-06 23:35:46+00:00,
stop,-1.0,2026-05-07 17:15:00+00:00,False,BTCUSDT-2026-05-07-long,2026-05-07 08:06:57+00:00,
wick,0.288,2026-05-07 18:00:00+00:00,False,ZROUSDT-2026-05-07-long,2026-05-07 12:32:55+00:00,0.0
wick,0.315,2026-05-08 10:45:00+00:00,False,BTCUSDT-2026-05-08-long,2026-05-07 22:40:42+00:00,0.456
wick,0.493,2026-05-09 01:15:00+00:00,False,AVNTUSDT-2026-05-08-long,2026-05-08 03:43:06+00:00,
wick,0.272,2026-05-09 00:00:00+00:00,False,SNXUSDT-2026-05-08-long,2026-05-08 16:49:28+00:00,0.182
wick,0.503,2026-05-12 03:30:00+00:00,False,STABLEUSDT-2026-05-09-long,2026-05-09 08:51:05+00:00,1.179
wick,0.349,2026-05-09 17:30:00+00:00,False,ETHUSDT-2026-05-09-long,2026-05-09 10:58:20+00:00,0.557
wick,0.398,2026-05-10 23:00:00+00:00,False,ZROUSDT-2026-05-11-long,2026-05-10 21:40:45+00:00,0.639
wick,0.392,2026-05-11 00:15:00+00:00,False,BTCUSDT-2026-05-11-short,2026-05-10 23:30:48+00:00,0.622
wick,0.193,2026-05-11 15:30:00+00:00,True,BTCUSDT-2026-05-11-long,2026-05-11 06:13:29+00:00,0.625
stop,-1.0,2026-05-13 14:00:00+00:00,False,BTCUSDT-2026-05-12-long,2026-05-12 01:30:58+00:00,
wick,0.356,2026-05-14 15:15:00+00:00,False,XRPUSDT-2026-05-12-long,2026-05-12 12:01:26+00:00,0.068
wick,0.269,2026-05-13 04:45:00+00:00,True,ETHUSDT-2026-05-13-long,2026-05-13 03:41:20+00:00,
stop,-1.0,2026-05-13 12:30:00+00:00,False,SOLUSDT-2026-05-13-long,2026-05-13 03:52:43+00:00,0.084
wick,0.231,2026-05-13 20:00:00+00:00,True,BTCUSDT-2026-05-13-long,2026-05-13 15:16:30+00:00,1.163
wick,0.386,2026-05-14 15:30:00+00:00,True,SOLUSDT-2026-05-14-long,2026-05-14 00:17:11+00:00,0.115
wick,0.273,2026-05-14 13:45:00+00:00,False,ENSUSDT-2026-05-14-long,2026-05-14 07:40:51+00:00,0.392
wick,0.285,2026-05-14 18:15:00+00:00,True,BTCUSDT-2026-05-14-long,2026-05-14 17:27:12+00:00,
stop,-1.0,2026-05-17 23:30:00+00:00,False,HBARUSDT-2026-05-15-long,2026-05-14 23:59:36+00:00,
wick,0.187,2026-05-16 14:45:00+00:00,True,ETHUSDT-2026-05-16-long,2026-05-16 09:58:40+00:00,
stop,-1.0,2026-05-16 10:15:00+00:00,False,BTCUSDT-2026-05-16-long,2026-05-16 09:58:40+00:00,
wick,0.383,2026-05-17 10:15:00+00:00,True,BTCUSDT-2026-05-16-long-2,2026-05-16 16:29:46+00:00,
wick,0.228,2026-05-18 08:00:00+00:00,False,BTCUSDT-2026-05-18-long,2026-05-18 00:50:36+00:00,0.86
wick,0.436,2026-05-18 23:00:00+00:00,False,BOMEUSDT-2026-05-18-long,2026-05-18 14:05:56+00:00,
wick,0.233,2026-05-18 20:30:00+00:00,False,ZECUSDT-2026-05-18-long,2026-05-18 19:14:08+00:00,1.122
wick,0.992,2026-05-21 02:15:00+00:00,False,SUIUSDT-2026-05-19-long,2026-05-19 07:48:14+00:00,1.038
target,0.53,2026-05-21 17:30:00+00:00,False,BTCUSDT-2026-05-21-long,2026-05-21 12:31:36+00:00,
wick,0.5,2026-05-22 13:15:00+00:00,True,WLDUSDT-2026-05-22-long,2026-05-22 08:51:14+00:00,
stop,-1.0,2026-05-22 19:30:00+00:00,False,XPLUSDT-2026-05-22-long,2026-05-22 09:23:13+00:00,
stop,-1.0,2026-05-22 23:45:00+00:00,False,AVAXUSDT-2026-05-22-long,2026-05-22 13:19:59+00:00,
wick,0.806,2026-05-23 06:15:00+00:00,True,BEATUSDT-2026-05-23-short,2026-05-23 05:33:37+00:00,
wick,0.162,2026-05-23 09:15:00+00:00,False,JCTUSDT-2026-05-23-short,2026-05-23 07:35:06+00:00,
wick,0.559,2026-05-23 08:00:00+00:00,False,HYPEUSDT-2026-05-23-long,2026-05-23 07:45:52+00:00,
wick,0.36,2026-05-23 13:45:00+00:00,False,SUIUSDT-2026-05-23-long,2026-05-23 08:13:43+00:00,1.704
wick,0.254,2026-05-23 20:15:00+00:00,False,BTCUSDT-2026-05-23-long,2026-05-23 14:16:47+00:00,0.471
wick,0.381,2026-05-23 18:15:00+00:00,False,FILUSDT-2026-05-23-long,2026-05-23 15:13:54+00:00,0.714
wick,0.162,2026-05-24 10:15:00+00:00,False,BTCUSDT-2026-05-24-long,2026-05-24 04:56:03+00:00,0.418
wick,0.466,2026-05-25 17:45:00+00:00,False,WLDUSDT-2026-05-25-long,2026-05-25 09:08:46+00:00,0.794
wick,0.769,2026-05-26 06:45:00+00:00,True,TAOUSDT-2026-05-26-long,2026-05-26 05:42:49+00:00,
wick,0.202,2026-05-26 08:00:00+00:00,True,RENDERUSDT-2026-05-26-long,2026-05-26 07:46:30+00:00,
stop,-1.0,2026-05-28 03:15:00+00:00,False,BTCUSDT-2026-05-27-long,2026-05-27 00:18:30+00:00,
wick,0.311,2026-05-28 12:45:00+00:00,False,BTCUSDT-2026-05-28-long,2026-05-28 04:44:12+00:00,
wick,0.253,2026-05-28 16:15:00+00:00,False,ETHUSDT-2026-05-28-long,2026-05-28 15:48:42+00:00,
wick,0.241,2026-05-28 18:15:00+00:00,False,ADAUSDT-2026-05-28-long,2026-05-28 17:23:18+00:00,0.506
wick,0.179,2026-05-29 16:45:00+00:00,True,NEARUSDT-2026-05-29-long,2026-05-29 16:10:23+00:00,
wick,0.25,2026-05-30 07:00:00+00:00,False,XPLUSDT-2026-05-30-long,2026-05-30 05:46:54+00:00,0.556
stop,-1.0,2026-06-02 14:15:00+00:00,False,SOLUSDT-2026-05-31-long,2026-05-31 12:24:11+00:00,
target,0.714,2026-06-01 17:30:00+00:00,False,RAYUSDT-2026-06-01-long,2026-06-01 13:57:12+00:00,0.475
wick,0.236,2026-06-01 15:30:00+00:00,True,BNBUSDT-2026-06-01-long,2026-06-01 14:50:57+00:00,
stop,-1.0,2026-06-02 06:45:00+00:00,False,BTCUSDT-2026-06-01-long,2026-06-01 17:37:01+00:00,0.024
stop,-1.0,2026-06-02 19:15:00+00:00,False,FETUSDT-2026-06-02-long,2026-06-02 05:31:10+00:00,
stop,-1.0,2026-06-02 19:30:00+00:00,False,BTCUSDT-2026-06-02-long,2026-06-02 08:51:30+00:00,
stop,-1.0,2026-06-02 22:45:00+00:00,False,SEIUSDT-2026-06-02-long,2026-06-02 14:35:43+00:00,
wick,0.329,2026-06-02 21:00:00+00:00,True,NEARUSDT-2026-06-02-long,2026-06-02 17:57:49+00:00,1.192
stop,-1.0,2026-06-03 23:00:00+00:00,False,BTCUSDT-2026-06-03-long,2026-06-03 06:39:45+00:00,
wick,0.673,2026-06-03 14:45:00+00:00,False,DEXEUSDT-2026-06-03-short,2026-06-03 11:15:43+00:00,1.449
wick,0.38,2026-06-03 19:00:00+00:00,True,PHAUSDT-2026-06-03-long,2026-06-03 18:05:13+00:00,
wick,0.258,2026-06-04 03:15:00+00:00,True,BTCUSDT-2026-06-04-long-a,2026-06-04 01:33:47+00:00,0.319
wick,0.277,2026-06-04 12:45:00+00:00,False,BTCUSDT-2026-06-04-long-b,2026-06-04 10:22:03+00:00,0.239
wick,0.234,2026-06-05 08:00:00+00:00,False,DEXEUSDT-2026-06-05-short,2026-06-05 03:54:21+00:00,
stop,-1.0,2026-06-05 18:45:00+00:00,False,BTCUSDT-2026-06-05-long,2026-06-05 08:56:04+00:00,0.643
wick,0.253,2026-06-09 00:45:00+00:00,False,BTCUSDT-2026-06-08-short,2026-06-08 11:06:00+00:00,0.22
wick,1.943,2026-06-09 07:30:00+00:00,True,BEATUSDT-2026-06-09-short,2026-06-09 05:08:31+00:00,-1.0
wick,0.175,2026-06-10 15:00:00+00:00,False,BTCUSDT-2026-06-09-long,2026-06-09 14:31:10+00:00,0.069
wick,0.223,2026-06-09 18:15:00+00:00,True,BEATUSDT-2026-06-09-short-2,2026-06-09 16:55:34+00:00,
wick,0.589,2026-06-10 14:00:00+00:00,True,ALLOUSDT-2026-06-10-short,2026-06-10 08:21:57+00:00,-1.0
wick,0.311,2026-06-10 15:00:00+00:00,False,BTCUSDT-2026-06-10-long-a,2026-06-10 08:49:46+00:00,0.615
wick,0.335,2026-06-10 14:00:00+00:00,False,INJUSDT-2026-06-10-long,2026-06-10 13:31:11+00:00,0.412
wick,0.309,2026-06-10 15:00:00+00:00,True,WLDUSDT-2026-06-10-long,2026-06-10 13:33:14+00:00,-1.0
target,0.25,2026-06-11 08:45:00+00:00,False,BTCUSDT-2026-06-10-long-b,2026-06-10 17:04:13+00:00,0.5
wick,0.282,2026-06-11 01:15:00+00:00,False,SOLUSDT-2026-06-11-long,2026-06-11 00:10:39+00:00,1.194
wick,0.338,2026-06-13 22:30:00+00:00,False,BTCUSDT-2026-06-12-long,2026-06-12 08:54:07+00:00,0.26
wick,0.322,2026-06-13 14:30:00+00:00,False,BTCUSDT-2026-06-13-long,2026-06-13 00:24:26+00:00,0.35
wick,0.255,2026-06-14 21:45:00+00:00,False,RENDERUSDT-2026-06-14-long,2026-06-14 07:20:26+00:00,0.112
wick,0.246,2026-06-14 14:15:00+00:00,False,PYTHUSDT-2026-06-14-long,2026-06-14 08:24:29+00:00,126.036
wick,0.277,2026-06-15 03:15:00+00:00,False,BTCUSDT-2026-06-15-short,2026-06-15 02:51:14+00:00,
wick,0.452,2026-06-15 19:15:00+00:00,False,ZECUSDT-2026-06-15-short,2026-06-15 17:43:58+00:00,
wick,0.361,2026-06-15 20:30:00+00:00,True,XMRUSDT-2026-06-15-long,2026-06-15 19:08:50+00:00,
wick,0.244,2026-06-16 20:45:00+00:00,False,WLDUSDT-2026-06-16-long,2026-06-16 11:14:23+00:00,
wick,0.325,2026-06-16 17:15:00+00:00,False,PORTALUSDT-2026-06-16-short,2026-06-16 16:48:15+00:00,
stop,-1.0,2026-06-17 08:45:00+00:00,False,HBARUSDT-2026-06-17-long,2026-06-16 21:30:43+00:00,
wick,0.256,2026-06-17 13:45:00+00:00,True,BTCUSDT-2026-06-17-long,2026-06-17 12:18:38+00:00,-0.019
wick,0.195,2026-06-17 15:15:00+00:00,True,LDOUSDT-2026-06-17-long,2026-06-17 13:15:46+00:00,
wick,0.614,2026-06-17 20:30:00+00:00,True,BTCUSDT-2026-06-17-long-2,2026-06-17 20:00:41+00:00,0.295
stop,-1.0,2026-06-18 15:30:00+00:00,False,ETHUSDT-2026-06-18-long,2026-06-18 08:40:04+00:00,-1.0
wick,0.197,2026-06-18 16:15:00+00:00,True,LABUSDT-2026-06-18-long,2026-06-18 09:12:48+00:00,0.809
target,0.376,2026-06-20 14:45:00+00:00,False,BTCUSDT-2026-06-18-long,2026-06-18 18:26:47+00:00,0.764
wick,0.383,2026-06-23 01:00:00+00:00,True,BTCUSDT-2026-06-23-long,2026-06-22 22:30:10+00:00,
stop,-1.0,2026-06-24 17:45:00+00:00,False,JUPUSDT-2026-06-24-long,2026-06-24 14:16:09+00:00,
wick,0.27,2026-06-24 18:15:00+00:00,False,BTCUSDT-2026-06-24-long,2026-06-24 17:34:12+00:00,1.11
wick,0.473,2026-06-28 11:45:00+00:00,False,TOSHIUSDT-2026-06-25-long,2026-06-25 12:12:55+00:00,
stop,-1.0,2026-06-25 13:45:00+00:00,False,BTCUSDT-2026-06-25-long,2026-06-25 12:35:07+00:00,0.007
wick,0.322,2026-06-25 14:30:00+00:00,False,BTCUSDT-2026-06-25-long-2,2026-06-25 13:58:03+00:00,0.185
wick,0.475,2026-06-26 07:15:00+00:00,False,BTCUSDT-2026-06-26-long,2026-06-26 05:28:49+00:00,0.0
wick,0.275,2026-06-28 07:30:00+00:00,False,BEATUSDT-2026-06-27-long,2026-06-27 03:16:37+00:00,
timeout,-0.052,2026-06-30 03:15:00+00:00,False,BTCUSDT-2026-06-27-long,2026-06-27 03:20:08+00:00,
wick,0.288,2026-06-30 12:30:00+00:00,False,BTCUSDT-2026-06-29-short,2026-06-28 23:53:53+00:00,0.163
wick,0.222,2026-06-30 14:00:00+00:00,False,BTCUSDT-2026-06-30-long,2026-06-30 13:02:13+00:00,0.212
wick,0.111,2026-06-30 15:45:00+00:00,True,HYPEUSDT-2026-06-30-long,2026-06-30 13:46:29+00:00,
wick,-0.012,2026-06-30 15:45:00+00:00,False,BTCUSDT-2026-06-30-long-2,2026-06-30 14:58:28+00:00,0.426
wick,0.269,2026-07-01 20:15:00+00:00,False,JUPUSDT-2026-07-01-short,2026-07-01 14:03:13+00:00,0.068
wick,0.183,2026-07-01 17:00:00+00:00,True,BTCUSDT-2026-07-01-short,2026-07-01 15:09:03+00:00,-1.0
wick,0.106,2026-07-02 12:30:00+00:00,True,ETHUSDT-2026-07-02-short,2026-07-02 12:19:14+00:00,
wick,0.089,2026-07-02 16:00:00+00:00,True,ETHUSDT-2026-07-02-short-2,2026-07-02 15:07:26+00:00,0.08
wick,0.328,2026-07-03 10:45:00+00:00,False,XRPUSDT-2026-07-03-long,2026-07-02 23:57:25+00:00,0.607
stop,-1.0,2026-07-04 17:45:00+00:00,False,ETHUSDT-2026-07-04-short,2026-07-04 01:13:31+00:00,
wick,0.241,2026-07-04 15:00:00+00:00,False,TAOUSDT-2026-07-04-long,2026-07-04 11:17:28+00:00,0.553
wick,0.262,2026-07-05 00:00:00+00:00,True,ZECUSDT-2026-07-04-short,2026-07-04 20:07:23+00:00,0.655
wick,0.607,2026-07-05 21:45:00+00:00,False,HYPEUSDT-2026-07-05-long,2026-07-05 10:17:01+00:00,0.546
wick,0.429,2026-07-06 12:00:00+00:00,False,OPUSDT-2026-07-06-short,2026-07-06 09:18:25+00:00,0.589
timeout,-0.226,2026-07-09 09:30:00+00:00,False,MEUSDT-2026-07-06-long,2026-07-06 09:34:58+00:00,0.154
wick,0.299,2026-07-07 05:15:00+00:00,False,XLMUSDT-2026-07-06-short,2026-07-06 14:25:28+00:00,0.439
stop,-1.0,2026-07-09 06:30:00+00:00,False,AVAXUSDT-2026-07-08-short,2026-07-08 14:42:46+00:00,
wick,0.29,2026-07-10 11:15:00+00:00,False,SOLUSDT-2026-07-09-long,2026-07-09 13:52:33+00:00,0.018
wick,0.363,2026-07-10 02:15:00+00:00,False,BTCUSDT-2026-07-09-long,2026-07-09 20:35:37+00:00,0.502
timeout,-0.383,2026-07-13 18:00:00+00:00,False,GENIUSUSDT-2026-07-10-long,2026-07-10 18:10:51+00:00,0.476
wick,0.313,2026-07-13 08:45:00+00:00,False,BTCUSDT-2026-07-13-long,2026-07-13 03:33:40+00:00,0.789
wick,0.262,2026-07-16 01:00:00+00:00,False,EIGENUSDT-2026-07-14-long,2026-07-14 00:27:55+00:00,
wick,0.606,2026-07-14 03:15:00+00:00,False,TRIAUSDT-2026-07-14-long,2026-07-14 02:06:45+00:00,0.65
wick,0.326,2026-07-15 02:30:00+00:00,False,BTCUSDT-2026-07-15-short,2026-07-14 21:40:11+00:00,0.041
wick,0.5,2026-07-17 03:15:00+00:00,False,BTCUSDT-2026-07-17-long-scalp,2026-07-17 02:03:10+00:00,
wick,0.386,2026-07-17 17:15:00+00:00,False,BTCUSDT-2026-07-17-long-swing,2026-07-17 02:04:09+00:00,1.52
wick,0.173,2026-07-18 12:45:00+00:00,True,ZECUSDT-2026-07-18-long,2026-07-18 12:16:28+00:00,1.143
wick,0.26,2026-07-22 07:30:00+00:00,False,BTCUSDT-2026-07-21-short,2026-07-21 07:54:47+00:00,0.887
wick,0.225,2026-07-21 10:45:00+00:00,False,ZECUSDT-2026-07-21-short,2026-07-21 08:51:05+00:00,0.532
stop,-1.0,2026-07-22 19:15:00+00:00,False,ENAUSDT-2026-07-22-short,2026-07-22 10:42:58+00:00,-1.0
wick,0.156,2026-07-23 10:45:00+00:00,False,NEARUSDT-2026-07-23-long,2026-07-23 09:25:04+00:00,
timeout,-0.114,2026-07-26 14:00:00+00:00,False,XRPUSDT-2026-07-23-long,2026-07-23 14:08:17+00:00,0.018
wick,0.277,2026-07-23 23:15:00+00:00,False,BTCUSDT-2026-07-23-long,2026-07-23 18:28:28+00:00,0.705
stop,-1.0,2026-07-25 16:15:00+00:00,False,INJUSDT-2026-07-24-long,2026-07-24 07:26:56+00:00,
wick,0.459,2026-07-24 10:30:00+00:00,False,BTCUSDT-2026-07-24-long,2026-07-24 09:23:57+00:00,0.277
wick,0.281,2026-07-26 07:00:00+00:00,False,BNBUSDT-2026-07-25-long,2026-07-25 08:55:37+00:00,0.465
target,0.683,2026-07-25 12:00:00+00:00,False,EDUUSDT-2026-07-25-long,2026-07-25 10:36:06+00:00,0.705
