variant,split,n,mean_r,wr_pct,total_r,wick_exits,stops,stop_dodges
5m_p0.3_w0.4,IS,102,0.11312745098039219,81.37254901960785,11.539000000000003,80,19,29
5m_p0.3_w0.4,OOS,71,0.13487323943661972,80.28169014084507,9.576,55,10,13
5m_p0.3_w0.4,ALL,173,0.1220520231213873,80.92485549132948,21.115000000000002,135,29,42
5m_p0.3_w0.6,IS,102,0.06679411764705882,74.50980392156863,6.813000000000001,62,26,19
5m_p0.3_w0.6,OOS,71,0.09443661971830986,76.05633802816901,6.705,50,12,11
5m_p0.3_w0.6,ALL,173,0.07813872832369942,75.14450867052022,13.518,112,38,30
5m_p0.5_w0.4,IS,102,0.10465686274509807,71.56862745098039,10.675000000000002,60,27,20
5m_p0.5_w0.4,OOS,71,0.11583098591549293,71.83098591549296,8.223999999999998,43,15,8
5m_p0.5_w0.4,ALL,173,0.10924277456647395,71.67630057803468,18.898999999999994,103,42,28
5m_p0.5_w0.6,IS,102,0.07203921568627451,67.64705882352942,7.348000000000001,46,31,14
5m_p0.5_w0.6,OOS,71,0.10523943661971831,70.4225352112676,7.472,39,16,7
5m_p0.5_w0.6,ALL,173,0.08566473988439306,68.78612716763006,14.82,85,47,21
15m_p0.3_w0.4,IS,102,0.0907058823529412,78.43137254901961,9.252000000000002,77,20,27
15m_p0.3_w0.4,OOS,71,0.17038028169014083,83.09859154929578,12.097,57,8,15
15m_p0.3_w0.4,ALL,173,0.12340462427745663,80.34682080924856,21.348999999999997,134,28,42
15m_p0.3_w0.6,IS,102,0.04050000000000003,71.56862745098039,4.131000000000003,60,27,18
15m_p0.3_w0.6,OOS,71,0.13078873239436622,77.46478873239437,9.286000000000001,49,11,12
15m_p0.3_w0.6,ALL,173,0.0775549132947977,73.98843930635837,13.417000000000002,109,38,30
15m_p0.5_w0.4,IS,102,0.10568627450980395,70.58823529411765,10.780000000000003,57,27,19
15m_p0.5_w0.4,OOS,71,0.11085915492957749,70.4225352112676,7.871000000000001,42,15,8
15m_p0.5_w0.4,ALL,173,0.10780924855491332,70.52023121387283,18.651000000000003,99,42,27
15m_p0.5_w0.6,IS,102,0.05772549019607842,64.70588235294117,5.887999999999999,44,32,13
15m_p0.5_w0.6,OOS,71,0.11823943661971831,69.01408450704226,8.395,35,16,7
15m_p0.5_w0.6,ALL,173,0.08256069364161849,66.47398843930635,14.282999999999998,79,48,20
