asset,threshold,entry_ts,entry_iso,entry_date,bar_day_str,exit_ts,exit_iso,hold_hours_scheduled,hold_hours_actual,pdo,today_open,gap_pct,btc_30d_pct,entry_price,exit_price,gross_bp,net_bp,in_band,config
BTC,-10.0,1637722800,2021-11-24T03:00:00Z,2021-11-24,2021-11-24,1637802000,2021-11-25T01:00:00Z,24,22.0,56243.83,57541.26,2.306795252030312,-9.193756863879388,56258.79,58008.06,310.9327449097288,292.9327449097288,True,m10
BTC,-10.0,1642096800,2022-01-13T18:00:00Z,2022-01-13,2022-01-13,1642122000,2022-01-14T01:00:00Z,24,7.0,42729.29,43902.65,2.7460320543589667,-8.150460200896434,42822.12,42750.66,-16.687637137068336,-34.687637137068336,True,m10
BTC,-10.0,1764878400,2025-12-04T20:00:00Z,2025-12-04,2025-12-04,1764896400,2025-12-05T01:00:00Z,24,5.0,91277.88,93429.95,2.3577125147954714,-8.520961852603032,91975.44,92299.08,35.187654443402664,17.187654443402664,True,m10
ETH,-10.0,1600182000,2020-09-15T15:00:00Z,2020-09-15,2020-09-15,1600196400,2020-09-15T19:00:00Z,4,4.0,366.43,377.12,2.917337554239554,-8.841707146873702,364.28,364.03,-6.862852750630921,-24.86285275063092,True,m10
ETH,-10.0,1620849600,2021-05-12T20:00:00Z,2021-05-12,2021-05-12,1620864000,2021-05-13T00:00:00Z,4,4.0,3946.63,4173.46,5.747435153536053,-9.415845223888477,4083.92,3823.21,-638.3817508668144,-656.3817508668144,True,m10
ETH,-10.0,1623790800,2021-06-15T21:00:00Z,2021-06-15,2021-06-15,1623805200,2021-06-16T01:00:00Z,4,4.0,2509.33,2580.58,2.839403346710078,-9.418337128523518,2521.7,2518.79,-11.539834238806224,-29.539834238806222,True,m10
ETH,-10.0,1625122800,2021-07-01T07:00:00Z,2021-07-01,2021-07-01,1625137200,2021-07-01T11:00:00Z,4,4.0,2165.46,2275.68,5.089911612313309,-9.22132057909833,2160.8,2112.04,-225.6571640133298,-243.6571640133298,True,m10
ETH,-10.0,1632456000,2021-09-24T04:00:00Z,2021-09-24,2021-09-24,1632470400,2021-09-24T08:00:00Z,4,4.0,3076.92,3152.41,2.4534274534274463,-7.6974015928404125,3074.93,3087.82,41.919653455526614,23.919653455526614,True,m10
ETH,-10.0,1646924400,2022-03-10T15:00:00Z,2022-03-10,2022-03-10,1646938800,2022-03-10T19:00:00Z,4,4.0,2575.98,2726.98,5.861846753468583,-9.857705411122843,2595.44,2596.79,5.201430200658663,-12.798569799341337,True,m10
ETH,-10.0,1647331200,2022-03-15T08:00:00Z,2022-03-15,2022-03-15,1647345600,2022-03-15T12:00:00Z,4,4.0,2515.66,2589.42,2.932033740648586,-9.367307674170764,2532.27,2534.8,9.991035711043317,-8.008964288956683,True,m10
ETH,-10.0,1654642800,2022-06-07T23:00:00Z,2022-06-07,2022-06-07,1654650000,2022-06-08T01:00:00Z,4,2.0,1806.22,1859.84,2.9686306208545963,-8.797334054553028,1808.77,1814.17,29.85454203685345,11.854542036853449,True,m10
ETH,-10.0,1663495200,2022-09-18T10:00:00Z,2022-09-18,2022-09-18,1663509600,2022-09-18T14:00:00Z,4,4.0,1433.9,1468.82,2.435316270311726,-8.820488443115732,1424.18,1435.02,76.1139743571726,58.113974357172594,True,m10
ETH,-10.0,1719594000,2024-06-28T17:00:00Z,2024-06-28,2024-06-28,1719608400,2024-06-28T21:00:00Z,4,4.0,3371.77,3450.44,2.3331959178710315,-9.792246871372399,3397.77,3390.19,-22.30874956221318,-40.30874956221318,True,m10
ETH,-10.0,1739862000,2025-02-18T07:00:00Z,2025-02-18,2025-02-18,1739876400,2025-02-18T11:00:00Z,4,4.0,2661.41,2744.05,3.1051209697115563,-9.648294956752633,2663.24,2695.24,120.15439840194597,102.15439840194597,True,m10
ETH,-10.0,1740369600,2025-02-24T04:00:00Z,2025-02-24,2025-02-24,1740384000,2025-02-24T08:00:00Z,4,4.0,2763.23,2819.7,2.0436228616510315,-9.28609043139699,2718.08,2722.01,14.45873557805566,-3.5412644219443408,True,m10
