asset,period,n,mean_bp_18,median_bp_18,win_rate,sum_bp_18
BTC,oos,0,,,,0.0
BTC,is,3,91.8109207386877,17.187654443402664,0.6666666666666666,275.4327622160631
BTC,pre_etf,2,129.12255388633022,129.12255388633022,0.5,258.24510777266045
BTC,post_etf,1,17.187654443402664,17.187654443402664,1.0,17.187654443402664
BTC,pooled,3,91.8109207386877,17.187654443402664,0.6666666666666666,275.4327622160631
ETH,oos,0,,,,0.0
ETH,is,12,-68.58804847421152,-10.40376704414901,0.3333333333333333,-823.0565816905382
ETH,pre_etf,9,-97.92899623425852,-12.798569799341337,0.3333333333333333,-881.3609661083267
ETH,post_etf,3,19.43479480592948,-3.5412644219443408,0.3333333333333333,58.30438441778845
ETH,pooled,12,-68.58804847421152,-10.40376704414901,0.3333333333333333,-823.0565816905382
