asset,period,config,threshold,n,mean_bp_18,median_bp_18,sd_bp,win_rate,sum_bp_18,per_trade_sharpe,mean_bp_10
BTC,oos,m10,-10.0,1,26.862408024317624,26.862408024317624,,1.0,26.862408024317624,,34.862408024317624
BTC,oos,m7,-7.0,1,26.862408024317624,26.862408024317624,,1.0,26.862408024317624,,34.862408024317624
BTC,is,m10,-10.0,87,35.411995156207844,19.282185613698445,215.87019645992308,0.5402298850574713,3080.8435785900824,0.1640430024011313,43.41199515620783
BTC,is,m7,-7.0,84,33.397747813976416,20.372921485257947,217.75666650843823,0.5357142857142857,2805.410816374019,0.15337187306126507,41.397747813976416
BTC,pre_etf,m10,-10.0,63,30.714884944143872,12.582880556742076,239.5697961773931,0.5079365079365079,1935.0377514810639,0.1282085030510297,38.714884944143876
BTC,pre_etf,m7,-7.0,61,27.488403995219727,12.582880556742076,240.99577769440833,0.5081967213114754,1676.7926437084034,0.11406176597034016,35.48840399521973
BTC,post_etf,m10,-10.0,25,46.906729405333415,26.862408024317624,136.10141628272234,0.64,1172.6682351333354,0.3446454172665952,54.90672940533343
BTC,post_etf,m7,-7.0,24,48.14502419541387,40.56141957646277,138.8847298000607,0.625,1155.4805806899328,0.3466545549300037,56.145024195413875
BTC,pooled,m10,-10.0,88,35.314840756981816,20.372921485257947,214.62791252683866,0.5454545454545454,3107.7059866143995,0.16453983240677417,43.31484075698181
BTC,pooled,m7,-7.0,85,33.32086146350984,21.46365735681745,216.45777577700918,0.5411764705882353,2832.2732243983364,0.15393700385167214,41.32086146350984
ETH,oos,m10,-10.0,6,14.466193663607811,-12.424278142636785,69.1743597563501,0.3333333333333333,86.79716198164687,0.2091265277273468,22.46619366360781
ETH,oos,m7,-7.0,6,14.466193663607811,-12.424278142636785,69.1743597563501,0.3333333333333333,86.79716198164687,0.2091265277273468,22.46619366360781
ETH,is,m10,-10.0,132,-1.3007676346650998,-1.906453142494808,179.07750661608966,0.49242424242424243,-171.70132777579317,-0.007263713122015454,6.699232365334897
ETH,is,m7,-7.0,123,-5.302642338298242,-0.27164186304527504,194.26621004072177,0.4959349593495935,-652.2250076106839,-0.027295752242176913,2.6973576617017585
ETH,pre_etf,m10,-10.0,95,-7.331178633239633,4.617675927112391,183.0111211342177,0.5157894736842106,-696.4619701577651,-0.04005865101423565,0.6688213667603646
ETH,pre_etf,m7,-7.0,88,-12.418431303683555,7.748789978484732,202.22094362135616,0.5227272727272727,-1092.8219547241529,-0.06141021340962662,-4.418431303683554
ETH,post_etf,m10,-10.0,43,14.222274520084152,-11.221104959890688,159.18384604399853,0.4186046511627907,611.5578043636185,0.08934496102169252,22.222274520084152
ETH,post_etf,m7,-7.0,41,12.863270953539413,-12.02833968069615,162.38599416135767,0.4146341463414634,527.3941090951159,0.0792141651130183,20.863270953539416
ETH,pooled,m10,-10.0,138,-0.6152475782184519,-3.0642101926234684,175.63978739419449,0.4855072463768116,-84.90416579414637,-0.00350289411839033,7.384752421781547
ETH,pooled,m7,-7.0,129,-4.383161594023538,-2.587155963302596,190.19651029167824,0.4883720930232558,-565.4278456290365,-0.02304543646621952,3.6168384059764613
