asset,threshold,entry_ts,entry_iso,entry_date,bar_day_str,exit_ts,exit_iso,hold_hours_scheduled,hold_hours_actual,pdo,today_open,gap_pct,btc_30d_pct,entry_price,exit_price,gross_bp,net_bp,in_band,config
BTC,-10.0,1580468400,2020-01-31T11:00:00Z,2020-01-31,2020-01-31,1580518800,2020-02-01T01:00:00Z,24,14.0,9301.57,9511.52,2.2571458366705914,29.749652874201605,9344.57,9383.07,41.200397664098446,23.200397664098446,False,m10
BTC,-10.0,1581314400,2020-02-10T06:00:00Z,2020-02-10,2020-02-10,1581382800,2020-02-11T01:00:00Z,24,19.0,9895.04,10151.72,2.59402690640966,21.677732541093416,9835.71,9779.69,-56.955725616146815,-74.95572561614682,False,m10
BTC,-10.0,1582149600,2020-02-19T22:00:00Z,2020-02-19,2020-02-19,1582160400,2020-02-20T01:00:00Z,24,3.0,9706.0,10164.78,4.726766948279422,10.617571404249043,9615.72,9626.38,11.08601331985426,-6.91398668014574,False,m10
BTC,-10.0,1582513200,2020-02-24T03:00:00Z,2020-02-24,2020-02-24,1582592400,2020-02-25T01:00:00Z,24,22.0,9650.85,9936.4,2.9588067372303914,17.007700743648478,9741.09,9616.74,-127.6551186776842,-145.6551186776842,False,m10
BTC,-10.0,1589511600,2020-05-15T03:00:00Z,2020-05-15,2020-05-15,1589590800,2020-05-16T01:00:00Z,24,22.0,9309.35,9791.97,5.184250243035217,37.71691021752693,9490.21,9396.01,-99.26018496956179,-117.26018496956179,False,m10
BTC,-10.0,1590508800,2020-05-26T16:00:00Z,2020-05-26,2020-05-26,1590541200,2020-05-27T01:00:00Z,24,9.0,8718.14,8900.35,2.0900100250741667,15.660549157655193,8726.6,8886.87,183.65686521669477,165.65686521669477,False,m10
BTC,-10.0,1590962400,2020-05-31T22:00:00Z,2020-05-31,2020-05-31,1590973200,2020-06-01T01:00:00Z,24,3.0,9426.6,9697.72,2.8761165213332376,7.062784705364929,9469.35,9498.31,30.582880556742076,12.582880556742076,False,m10
BTC,-10.0,1591110000,2020-06-02T15:00:00Z,2020-06-02,2020-06-02,1591146000,2020-06-03T01:00:00Z,24,10.0,9448.27,10202.71,7.984953859277928,9.288932486226905,9581.47,9527.2,-56.64057811588297,-74.64057811588296,False,m10
BTC,-10.0,1596344400,2020-08-02T05:00:00Z,2020-08-02,2020-08-02,1596416400,2020-08-03T01:00:00Z,24,20.0,11335.46,11801.17,4.108434946618849,22.810138523464563,11169.84,11135.3,-30.922555739384407,-48.92255573938441,False,m10
BTC,-10.0,1597762800,2020-08-18T15:00:00Z,2020-08-18,2020-08-18,1597798800,2020-08-19T01:00:00Z,24,10.0,11910.99,12281.15,3.1077181661641884,30.77393142268901,11941.36,11985.88,37.282185613698445,19.282185613698445,False,m10
