slice,n,mean,median,sd,win_rate,sum,sharpe,min,max,stop_pct_of_trades,target_pct_of_trades,tif_pct_of_trades,long_share
pooled,1855,-0.16398451632919886,-1.170099009900991,1.3069356865253319,0.3660377358490566,-304.1912777906639,-0.12547252173148185,-1.180000000000012,1.8608163265306146,0.5773584905660377,0.26361185983827495,0.15902964959568733,0.4814016172506739
asset=BTC,725,-0.1668727709025876,-1.170099009900991,1.2683851920965232,0.3779310344827586,-120.982758904376,-0.13156316546613286,-1.180000000000012,1.8608163265306146,0.5503448275862068,0.24,0.2096551724137931,0.47448275862068967
asset=ETH,1130,-0.16213143264273264,-1.170099009900991,1.3316346230753182,0.3584070796460177,-183.2085188862879,-0.12175369266706305,-1.180000000000012,1.8608163265306146,0.5946902654867257,0.27876106194690264,0.12654867256637167,0.48584070796460177
dir=LONG,893,-0.17622039451822782,-1.1799999999999897,1.2932018101995189,0.3706606942889138,-157.36481230477744,-0.13626673975273823,-1.180000000000012,1.8200000000000018,0.5778275475923852,0.2564389697648376,0.16573348264277715,1.0
dir=SHORT,962,-0.15262626349884242,-1.1700990099009798,1.3201272684758492,0.36174636174636177,-146.82646548588642,-0.115614810134978,-1.170099009901002,1.8608163265306146,0.5769230769230769,0.2702702702702703,0.15280665280665282,0.0
pre_etf,1254,-0.19577823672081343,-1.170099009900991,1.321643103989003,0.3484848484848485,-245.50590884790006,-0.1481324543138103,-1.180000000000012,1.8608163265306146,0.6060606060606061,0.2687400318979266,0.1251993620414673,0.47208931419457734
post_etf,601,-0.09764620456366693,-1.1700990099009798,1.2742341950953957,0.40266222961730447,-58.68536894276383,-0.07663128562984188,-1.180000000000012,1.8608163265306146,0.5174708818635607,0.2529118136439268,0.22961730449251247,0.5008319467554077
BTC_pre_etf,527,-0.2193540178198349,-1.170099009900991,1.2851235732325783,0.349146110056926,-115.599567391053,-0.17068710152757954,-1.180000000000012,1.8608163265306146,0.5920303605313093,0.24478178368121442,0.16318785578747627,0.476280834914611
BTC_post_etf,198,-0.02718783592587371,-0.2245308329908578,1.214852365705756,0.45454545454545453,-5.383191513322995,-0.02237953902331105,-1.180000000000012,1.8608163265306146,0.4393939393939394,0.22727272727272727,0.3333333333333333,0.4696969696969697
ETH_pre_etf,727,-0.17868822758851036,-1.170099009900991,1.3481183616993067,0.34800550206327374,-129.90634145684703,-0.13254639404456547,-1.180000000000012,1.8608163265306146,0.6162310866574966,0.2861072902338377,0.09766162310866575,0.469050894085282
ETH_post_etf,403,-0.13226346756685073,-1.170099009900991,1.3024967704497075,0.3771712158808933,-53.30217742944084,-0.10154610020352273,-1.180000000000012,1.8608163265306146,0.5558312655086849,0.2655086848635236,0.17866004962779156,0.5161290322580645
first_bar_of_day,344,-0.2725059124264813,-1.170099009900991,1.379261701966243,0.29941860465116277,-93.74203387470956,-0.19757375415992723,-1.180000000000012,1.8608163265306146,0.6976744186046512,0.29651162790697677,0.005813953488372093,0.5087209302325582
not_first_bar_of_day,1511,-0.139278123041664,-1.170099009900991,1.289103065688698,0.3812045003309067,-210.4492439159543,-0.10804265907726723,-1.180000000000012,1.8608163265306146,0.5499669093315684,0.2561217736598279,0.19391131700860356,0.4751819986763733
year=2020,289,-0.2281095383879717,-1.170099009900991,1.3198601361971785,0.34256055363321797,-65.92365659412383,-0.17282856882488165,-1.180000000000012,1.8608163265306146,0.629757785467128,0.2629757785467128,0.10726643598615918,0.44982698961937717
year=2021,471,-0.22791539156932966,-1.170099009900991,1.3437866652339574,0.3248407643312102,-107.34814942915428,-0.16960682634073385,-1.180000000000012,1.8608163265306146,0.6390658174097664,0.2781316348195329,0.08280254777070063,0.4585987261146497
year=2022,348,-0.10430914206849161,-1.170099009900991,1.3499563929158112,0.382183908045977,-36.29958143983508,-0.07726852705456001,-1.180000000000012,1.8608163265306146,0.5689655172413793,0.2959770114942529,0.13505747126436782,0.45689655172413796
year=2023,135,-0.24660985467001675,-1.170099009900991,1.1668024455369073,0.362962962962963,-33.29233038045226,-0.21135527750504376,-1.180000000000012,1.8608163265306146,0.5333333333333333,0.17777777777777778,0.28888888888888886,0.6222222222222222
year=2024,234,-0.138776591760884,-1.1700990099009854,1.2867038405139177,0.38461538461538464,-32.47372247204686,-0.10785433865298462,-1.180000000000012,1.8608163265306146,0.5512820512820513,0.2564102564102564,0.19230769230769232,0.5085470085470085
year=2025,245,-0.09605753244582085,-1.170099009900991,1.2931545132179,0.39183673469387753,-23.534095449226108,-0.07428155836288289,-1.180000000000012,1.8608163265306146,0.5265306122448979,0.2571428571428571,0.2163265306122449,0.5306122448979592
year=2026,133,-0.039998060344552534,-0.31412081411334764,1.2284124094165318,0.44360902255639095,-5.319742025825487,-0.03256077522332317,-1.180000000000012,1.8608163265306146,0.45112781954887216,0.24060150375939848,0.3082706766917293,0.41353383458646614
