asset,direction,entry_ts,entry_iso,entry_date,exit_ts,exit_iso,exit_type,hold_hours,cdo,cdo_ts,up_exc_pct,dn_exc_pct,entry_price,exit_price,stop_price,target_price,move_pct,R,first_bar_of_day,same_bar_stop_target
BTC,LONG,1578027600,2020-01-03T05:00:00Z,2020-01-03,1578045480,2020-01-03T09:58:00Z,target,4.966666666666667,6965.49,1578009600,4.295749473475663,1.3559706495881785,7210.19,7354.3938,7138.0881,7354.3938,2.0000000000000018,1.8200000000000018,False,False
ETH,LONG,1578027600,2020-01-03T05:00:00Z,2020-01-03,1578040920,2020-01-03T08:42:00Z,target,3.7,127.19,1578009600,2.3272269832534054,1.0299551851560729,129.3,131.88600000000002,128.007,131.88600000000002,2.0000000000000018,1.8200000000000018,False,False
ETH,LONG,1578265200,2020-01-05T23:00:00Z,2020-01-05,1578272400,2020-01-06T01:00:00Z,tif,2.0,134.2,1578182400,2.973174366616993,0.00745156482860887,135.04,135.65,133.68959999999998,137.7408,0.45171800947867435,0.27171800947867436,False,False
BTC,LONG,1578358800,2020-01-07T01:00:00Z,2020-01-07,1578411240,2020-01-07T15:34:00Z,stop,14.566666666666666,7758.9,1578355200,3.107399244738307,0.007861939192410627,7888.42,7809.5358,7809.5358,8046.1884,-1.0000000000000009,-1.1800000000000008,True,False
ETH,SHORT,1578427200,2020-01-07T20:00:00Z,2020-01-07,1578430500,2020-01-07T20:55:00Z,stop,0.9166666666666666,144.14,1578355200,0.8117108366865633,3.7324823088663805,143.19,144.6219,144.6219,140.3262,-0.9900990099010021,-1.170099009901002,False,False
ETH,LONG,1578445200,2020-01-08T01:00:00Z,2020-01-08,1578445440,2020-01-08T01:04:00Z,stop,0.06666666666666667,142.8,1578441600,3.480392156862755,0.06302521008403339,147.55,146.0745,146.0745,150.501,-1.000000000000012,-1.180000000000012,True,False
BTC,LONG,1578445200,2020-01-08T01:00:00Z,2020-01-08,1578445440,2020-01-08T01:04:00Z,stop,0.06666666666666667,8145.92,1578441600,3.794292111879316,0.04812225015713434,8431.82,8347.5018,8347.5018,8600.4564,-1.0000000000000009,-1.1800000000000008,True,False
BTC,SHORT,1578765600,2020-01-11T18:00:00Z,2020-01-11,1578778920,2020-01-11T21:42:00Z,stop,3.7,8198.86,1578700800,0.6635068777854469,2.3034909731352915,8160.56,8242.1656,8242.1656,7997.348800000001,-0.990099009900991,-1.170099009900991,False,False
ETH,LONG,1578780000,2020-01-11T22:00:00Z,2020-01-11,1578780420,2020-01-11T22:07:00Z,stop,0.11666666666666667,144.83,1578700800,2.223296278395348,1.89187323068426,143.86,142.4214,142.4214,146.73720000000003,-1.0000000000000009,-1.1800000000000008,False,False
BTC,LONG,1578963600,2020-01-14T01:00:00Z,2020-01-14,1578965760,2020-01-14T01:36:00Z,target,0.6,8110.34,1578960000,2.5234453796018297,0.05918370869778533,8270.0,8435.4,8187.3,8435.4,2.0000000000000018,1.8200000000000018,True,False
ETH,LONG,1579050000,2020-01-15T01:00:00Z,2020-01-15,1579050300,2020-01-15T01:05:00Z,stop,0.08333333333333333,165.6,1579046400,3.852657004830906,1.473429951690819,169.27,167.5773,167.5773,172.65540000000001,-1.0000000000000009,-1.1800000000000008,True,False
BTC,SHORT,1579086000,2020-01-15T11:00:00Z,2020-01-15,1579096500,2020-01-15T13:55:00Z,stop,2.9166666666666665,8814.64,1579046400,0.968388952923771,2.843451349119186,8798.94,8886.9294,8886.9294,8622.9612,-0.990099009900991,-1.170099009900991,False,False
ETH,SHORT,1579136400,2020-01-16T01:00:00Z,2020-01-16,1579138440,2020-01-16T01:34:00Z,target,0.5666666666666667,166.4,1579132800,0.6009615384615419,2.3557692307692446,163.95,160.671,165.5895,160.671,2.0408163265306145,1.8608163265306146,True,False
ETH,LONG,1579309200,2020-01-18T01:00:00Z,2020-01-18,1579313760,2020-01-18T02:16:00Z,stop,1.2666666666666666,169.92,1579305600,2.18338041431263,0.5414312617702421,173.21,171.4779,171.4779,176.6742,-1.0000000000000009,-1.1800000000000008,True,False
ETH,LONG,1579399200,2020-01-19T02:00:00Z,2020-01-19,1579431660,2020-01-19T11:01:00Z,stop,9.016666666666667,174.1,1579392000,2.268811028144757,0.46524985640437055,175.33,173.57670000000002,173.57670000000002,178.8366,-1.0000000000000009,-1.1800000000000008,False,False
BTC,SHORT,1579435200,2020-01-19T12:00:00Z,2020-01-19,1579472160,2020-01-19T22:16:00Z,target,10.266666666666667,8915.09,1579392000,3.1843761532412973,4.3845883776832295,8681.44,8507.8112,8768.2544,8507.8112,2.0408163265306145,1.8608163265306146,False,False
ETH,SHORT,1579532400,2020-01-20T15:00:00Z,2020-01-20,1579550400,2020-01-20T20:00:00Z,stop,5.0,166.79,1579478400,0.4856406259368118,3.327537622159593,166.2,167.862,167.862,162.87599999999998,-0.990099009900991,-1.170099009900991,False,False
BTC,SHORT,1579539600,2020-01-20T17:00:00Z,2020-01-20,1579568400,2020-01-21T01:00:00Z,tif,8.0,8701.72,1579478400,0.3921063881623388,2.073613032825683,8668.51,8644.52,8755.1951,8495.1398,0.27751685460846165,0.09751685460846166,False,False
ETH,SHORT,1579878000,2020-01-24T15:00:00Z,2020-01-24,1579894140,2020-01-24T19:29:00Z,stop,4.483333333333333,162.85,1579824000,0.35001535155050334,4.4826527479275295,162.04,163.66039999999998,163.66039999999998,158.79919999999998,-0.9900990099009799,-1.1700990099009798,False,False
ETH,SHORT,1579914000,2020-01-25T01:00:00Z,2020-01-25,1579925700,2020-01-25T04:15:00Z,stop,3.25,162.51,1579910400,0.04307427235248351,2.762906898037032,158.63,160.2163,160.2163,155.4574,-0.990099009900991,-1.170099009900991,True,False
BTC,LONG,1580173200,2020-01-28T01:00:00Z,2020-01-28,1580188860,2020-01-28T05:21:00Z,stop,4.35,8907.57,1580169600,2.0906936459663017,0.00011226406304576386,9069.31,8978.616899999999,8978.616899999999,9250.6962,-1.0000000000000009,-1.1800000000000008,True,False
ETH,LONG,1580234400,2020-01-28T18:00:00Z,2020-01-28,1580254500,2020-01-28T23:35:00Z,target,5.583333333333333,170.04,1580169600,2.6523171018584035,0.0058809691837136135,171.03,174.4506,169.3197,174.4506,2.0000000000000018,1.8200000000000018,False,False
ETH,LONG,1580558400,2020-02-01T12:00:00Z,2020-02-01,1580605200,2020-02-02T01:00:00Z,tif,13.0,179.94,1580515200,2.4119150828053826,0.3945759697677076,180.94,181.56,179.1306,184.5588,0.34265502376478185,0.16265502376478186,False,False
ETH,SHORT,1580626800,2020-02-02T07:00:00Z,2020-02-02,1580628300,2020-02-02T07:25:00Z,stop,0.4166666666666667,183.63,1580601600,1.9386810434024904,2.4669171703969983,186.04,187.9004,187.9004,182.3192,-0.990099009900991,-1.170099009900991,False,False
BTC,SHORT,1580626800,2020-02-02T07:00:00Z,2020-02-02,1580645940,2020-02-02T12:19:00Z,stop,5.316666666666666,9384.41,1580601600,0.027918643793278797,2.8175452692284275,9361.09,9454.7009,9454.7009,9173.8682,-0.990099009900991,-1.170099009900991,False,False
BTC,LONG,1580698800,2020-02-03T03:00:00Z,2020-02-03,1580745300,2020-02-03T15:55:00Z,stop,12.916666666666666,9331.59,1580688000,3.0777177308475956,0.4671229661826093,9376.3,9282.536999999998,9282.536999999998,9563.826,-1.000000000000012,-1.180000000000012,False,False
ETH,LONG,1580727600,2020-02-03T11:00:00Z,2020-02-03,1580761380,2020-02-03T20:23:00Z,target,9.383333333333333,188.48,1580688000,3.560059422750439,0.6738115449914983,187.98,191.7396,186.1002,191.7396,2.0000000000000018,1.8200000000000018,False,False
ETH,SHORT,1580835600,2020-02-04T17:00:00Z,2020-02-04,1580864400,2020-02-05T01:00:00Z,tif,8.0,189.74,1580774400,0.980288816274899,2.6615368398861694,189.24,189.63,191.13240000000002,185.45520000000002,-0.20566366081316012,-0.3856636608131601,False,False
