strategy,era,late_min,n,mean_bp,t,loss_vs_0_bp
JPLUS_R4_BTC,post_etf,0,62,58.128845566841896,2.0404064681255525,0.0
JPLUS_R4_BTC,post_etf,5,62,59.94137798154056,2.0980755868196668,-1.8125324146986657
JPLUS_R4_BTC,post_etf,10,62,62.01073314842096,2.158194715493164,-3.8818875815790648
JPLUS_R4_BTC,post_etf,15,62,61.518690579662604,2.118642893465227,-3.3898450128207074
JPLUS_R4_BTC,post_etf,30,62,67.38732258898241,2.1816760253124534,-9.258477022140518
JPLUS_R4_BTC,post_etf,60,62,61.00362849980964,2.126392626810477,-2.8747829329677472
JPLUS_R4_BTC,pre_etf,0,98,6.66591048516745,0.24428273033697465,0.0
JPLUS_R4_BTC,pre_etf,5,98,8.429785576172849,0.31536215652093186,-1.7638750910053984
JPLUS_R4_BTC,pre_etf,10,98,6.690234317626684,0.25107191235061954,-0.024323832459233863
JPLUS_R4_BTC,pre_etf,15,98,8.835312099103227,0.33266944868696,-2.1694016139357766
JPLUS_R4_BTC,pre_etf,30,98,0.7454275899126979,0.02831801298006678,5.920482895254753
JPLUS_R4_BTC,pre_etf,60,98,0.44043864041067216,0.0170752368057833,6.225471844756778
JPLUS_R4_BTC_V2,post_etf,0,127,24.132519048835896,1.6527010592157017,0.0
JPLUS_R4_BTC_V2,post_etf,5,127,22.522669841748655,1.5702829197684036,1.6098492070872403
JPLUS_R4_BTC_V2,post_etf,10,127,22.140639719974818,1.5522601775857623,1.9918793288610779
JPLUS_R4_BTC_V2,post_etf,15,127,20.063597797806356,1.4243778582163702,4.06892125102954
JPLUS_R4_BTC_V2,post_etf,30,127,20.27303416206334,1.3989248841134985,3.859484886772556
JPLUS_R4_BTC_V2,post_etf,60,127,19.280858961298193,1.3854524600776978,4.851660087537702
JPLUS_R4_BTC_V2,pre_etf,0,194,31.746392205322813,2.154972232933983,0.0
JPLUS_R4_BTC_V2,pre_etf,5,194,33.57155628761665,2.247461339487449,-1.8251640822938384
JPLUS_R4_BTC_V2,pre_etf,10,194,32.560800722889056,2.1762631704970214,-0.8144085175662426
JPLUS_R4_BTC_V2,pre_etf,15,194,30.35081200971324,2.0392496884721165,1.395580195609572
JPLUS_R4_BTC_V2,pre_etf,30,194,30.922383158333247,2.0629915516009336,0.8240090469895662
JPLUS_R4_BTC_V2,pre_etf,60,194,33.09514921628548,2.090276120340601,-1.3487570109626645
JPLUS_R4_ETH,post_etf,0,63,123.8318962112718,2.3486915642349344,0.0
JPLUS_R4_ETH,post_etf,5,63,119.57756399321725,2.3267517875593953,4.254332218054543
JPLUS_R4_ETH,post_etf,10,63,112.5665948399291,2.2255527229593404,11.265301371342701
JPLUS_R4_ETH,post_etf,15,63,114.89397622050859,2.2721118386116546,8.937919990763206
JPLUS_R4_ETH,post_etf,30,63,119.4970926596142,2.3583319926498993,4.3348035516576005
JPLUS_R4_ETH,post_etf,60,63,114.43782198255103,2.2217041029373634,9.394074228720768
JPLUS_R4_ETH,pre_etf,0,97,89.01388205711966,2.186052031509108,0.0
JPLUS_R4_ETH,pre_etf,5,97,87.56238722691359,2.121831288288979,1.451494830206073
JPLUS_R4_ETH,pre_etf,10,97,89.73383558713878,2.1954978079182577,-0.7199535300191258
JPLUS_R4_ETH,pre_etf,15,97,89.25729462560498,2.1581399826228687,-0.24341256848532566
JPLUS_R4_ETH,pre_etf,30,97,87.88998393023442,2.1444617400578467,1.123898126885237
JPLUS_R4_ETH,pre_etf,60,97,80.10897773879461,1.9611965969472722,8.904904318325052
JPLUS_R4_ETH_V2,post_etf,0,127,31.10583998498868,1.6505161659905627,0.0
JPLUS_R4_ETH_V2,post_etf,5,127,29.514224290093953,1.5999138995849078,1.5916156948947275
JPLUS_R4_ETH_V2,post_etf,10,127,29.635100368151576,1.5957414183091818,1.470739616837104
JPLUS_R4_ETH_V2,post_etf,15,127,27.94820557215581,1.5368803457931597,3.15763441283287
JPLUS_R4_ETH_V2,post_etf,30,127,27.617424346450775,1.5113867333107487,3.488415638537905
JPLUS_R4_ETH_V2,post_etf,60,127,27.997872799700918,1.610879211304269,3.1079671852877624
JPLUS_R4_ETH_V2,pre_etf,0,194,45.0158306318092,2.4716179335536563,0.0
JPLUS_R4_ETH_V2,pre_etf,5,194,48.54641660663956,2.6545172661990253,-3.530585974830359
JPLUS_R4_ETH_V2,pre_etf,10,194,45.83213423409978,2.551752819474654,-0.8163036022905814
JPLUS_R4_ETH_V2,pre_etf,15,194,43.633872115215034,2.441410305409166,1.3819585165941675
JPLUS_R4_ETH_V2,pre_etf,30,194,44.51543167072653,2.3935457246536993,0.5003989610826736
JPLUS_R4_ETH_V2,pre_etf,60,194,47.59807940436996,2.3970577342605757,-2.58224877256076
