strategy,era,day,stop,gross_bp,net_bp,stopped
JPLUS_R4_BTC,pre_etf,2020-01-06,2%,34.42256250954179,19.42256250954179,False
JPLUS_R4_BTC,pre_etf,2020-01-06,3%,34.42256250954179,19.42256250954179,False
JPLUS_R4_BTC,pre_etf,2020-01-06,5%,34.42256250954179,19.42256250954179,False
JPLUS_R4_BTC,pre_etf,2020-01-06,none,34.42256250954179,19.42256250954179,False
JPLUS_R4_BTC,pre_etf,2020-01-13,2%,2.5073553206578225,-12.492644679342177,False
JPLUS_R4_BTC,pre_etf,2020-01-13,3%,2.5073553206578225,-12.492644679342177,False
JPLUS_R4_BTC,pre_etf,2020-01-13,5%,2.5073553206578225,-12.492644679342177,False
JPLUS_R4_BTC,pre_etf,2020-01-13,none,2.5073553206578225,-12.492644679342177,False
JPLUS_R4_BTC,pre_etf,2020-02-03,2%,-115.603309090212,-130.603309090212,False
JPLUS_R4_BTC,pre_etf,2020-02-03,3%,-115.603309090212,-130.603309090212,False
JPLUS_R4_BTC,pre_etf,2020-02-03,5%,-115.603309090212,-130.603309090212,False
JPLUS_R4_BTC,pre_etf,2020-02-03,none,-115.603309090212,-130.603309090212,False
JPLUS_R4_BTC,pre_etf,2020-02-10,2%,8.99743191943303,-6.00256808056697,False
JPLUS_R4_BTC,pre_etf,2020-02-10,3%,8.99743191943303,-6.00256808056697,False
JPLUS_R4_BTC,pre_etf,2020-02-10,5%,8.99743191943303,-6.00256808056697,False
JPLUS_R4_BTC,pre_etf,2020-02-10,none,8.99743191943303,-6.00256808056697,False
JPLUS_R4_BTC,pre_etf,2020-03-02,2%,242.83871236000064,227.83871236000064,False
JPLUS_R4_BTC,pre_etf,2020-03-02,3%,242.83871236000064,227.83871236000064,False
JPLUS_R4_BTC,pre_etf,2020-03-02,5%,242.83871236000064,227.83871236000064,False
JPLUS_R4_BTC,pre_etf,2020-03-02,none,242.83871236000064,227.83871236000064,False
JPLUS_R4_BTC,pre_etf,2020-03-09,2%,-200.00000000000017,-215.00000000000017,True
JPLUS_R4_BTC,pre_etf,2020-03-09,3%,-300.0000000000003,-315.0000000000003,True
JPLUS_R4_BTC,pre_etf,2020-03-09,5%,-247.19560070497582,-262.19560070497585,False
JPLUS_R4_BTC,pre_etf,2020-03-09,none,-247.19560070497582,-262.19560070497585,False
JPLUS_R4_BTC,pre_etf,2020-04-06,2%,301.6660256859338,286.6660256859338,False
JPLUS_R4_BTC,pre_etf,2020-04-06,3%,301.6660256859338,286.6660256859338,False
JPLUS_R4_BTC,pre_etf,2020-04-06,5%,301.6660256859338,286.6660256859338,False
JPLUS_R4_BTC,pre_etf,2020-04-06,none,301.6660256859338,286.6660256859338,False
JPLUS_R4_BTC,pre_etf,2020-04-13,2%,90.67601366191225,75.67601366191225,False
JPLUS_R4_BTC,pre_etf,2020-04-13,3%,90.67601366191225,75.67601366191225,False
JPLUS_R4_BTC,pre_etf,2020-04-13,5%,90.67601366191225,75.67601366191225,False
JPLUS_R4_BTC,pre_etf,2020-04-13,none,90.67601366191225,75.67601366191225,False
JPLUS_R4_BTC,pre_etf,2020-05-04,2%,224.75892127802322,209.75892127802322,False
JPLUS_R4_BTC,pre_etf,2020-05-04,3%,224.75892127802322,209.75892127802322,False
JPLUS_R4_BTC,pre_etf,2020-05-04,5%,224.75892127802322,209.75892127802322,False
JPLUS_R4_BTC,pre_etf,2020-05-04,none,224.75892127802322,209.75892127802322,False
JPLUS_R4_BTC,pre_etf,2020-05-11,2%,-200.00000000000017,-215.00000000000017,True
JPLUS_R4_BTC,pre_etf,2020-05-11,3%,-299.99999999999915,-314.99999999999915,True
JPLUS_R4_BTC,pre_etf,2020-05-11,5%,-213.7236082244065,-228.7236082244065,False
JPLUS_R4_BTC,pre_etf,2020-05-11,none,-213.7236082244065,-228.7236082244065,False
JPLUS_R4_BTC,pre_etf,2020-06-01,2%,40.8542909064602,25.8542909064602,False
JPLUS_R4_BTC,pre_etf,2020-06-01,3%,40.8542909064602,25.8542909064602,False
JPLUS_R4_BTC,pre_etf,2020-06-01,5%,40.8542909064602,25.8542909064602,False
JPLUS_R4_BTC,pre_etf,2020-06-01,none,40.8542909064602,25.8542909064602,False
JPLUS_R4_BTC,pre_etf,2020-06-08,2%,-30.682522037680513,-45.68252203768051,False
JPLUS_R4_BTC,pre_etf,2020-06-08,3%,-30.682522037680513,-45.68252203768051,False
JPLUS_R4_BTC,pre_etf,2020-06-08,5%,-30.682522037680513,-45.68252203768051,False
