variant,n,net_exp_r,gross_exp_r,wr_pct,total_r,max_dd_r,mar_like,trades_per_day,med_cost_r,med_risk_pct,split
A2_1_1.5_1.0_None,2771,-0.10371677609990976,-0.032749452999421544,48.35799350415012,-287.39918657284994,-341.8890744254253,-0.8406211489964972,4.8191304347826085,0.0671691420534601,2.679801981938932,IS
A2_1_1.5_1.0_None,1520,-0.07508854520439937,-0.007343620502459151,49.67105263157895,-114.13458871068704,-116.64664648470583,-0.978464380676832,4.293785310734464,0.06515822127031967,2.7625070810686694,OOS
A2_1_1.5_1.0_None,4291,-0.09357580407446676,-0.023749950460297133,48.82311815427639,-401.5337752835369,-420.04968449964696,-0.9559197164064871,4.604077253218884,0.06649424606798485,2.7070011413613884,ALL
A2_1_1.5_1.0_skip_up30d,1884,-0.0869070699610249,-0.011220172199523355,49.41613588110403,-163.73291980657092,-228.58827735707413,-0.716278724786951,3.276521739130435,0.07218477564750621,2.4936017464141242,IS
A2_1_1.5_1.0_skip_up30d,1384,-0.08353221273084356,-0.015290681476689211,49.27745664739884,-115.60858241948749,-115.38100766715053,-1.0019723761903125,3.9318181818181817,0.06571054619196673,2.739286522536744,OOS
A2_1_1.5_1.0_skip_up30d,3268,-0.08547781585864701,-0.012944035369534842,49.35740514075888,-279.3415022260584,-305.4832486137411,-0.9144249430817831,3.513978494623656,0.06979226804391393,2.57908240776451,ALL
A2_1_1.5_1.5_None,2771,-0.10987146031802879,-0.03890413721754059,38.65030674846626,-304.45381654125777,-386.99324547371236,-0.7867160993173941,4.8191304347826085,0.0671691420534601,2.679801981938932,IS
A2_1_1.5_1.5_None,1520,-0.07689424168944826,-0.009149316987508052,39.93421052631579,-116.87924736796137,-122.39130514198,-0.954963649030261,4.293785310734464,0.06515822127031967,2.7625070810686694,OOS
A2_1_1.5_1.5_None,4291,-0.09818994731046822,-0.02836409369629857,39.105103705429975,-421.3330639092191,-457.510069874742,-0.9209263175880971,4.604077253218884,0.06649424606798485,2.7070011413613884,ALL
A2_1_1.5_1.5_skip_up30d,1884,-0.10392804300782944,-0.028241145246327894,39.06581740976646,-195.80043302675068,-281.59698391119576,-0.6953214850074466,3.276521739130435,0.07218477564750621,2.4936017464141242,IS
A2_1_1.5_1.5_skip_up30d,1384,-0.07089220795010114,-0.002650676695946782,40.24566473988439,-98.11481580293997,-98.88724105060291,-0.9921888280079766,3.9318181818181817,0.06571054619196673,2.739286522536744,OOS
A2_1_1.5_1.5_skip_up30d,3268,-0.08993734664311219,-0.017403566154000016,39.565483476132194,-293.91524882969065,-328.6097442208486,-0.8944203694463764,3.513978494623656,0.06979226804391393,2.57908240776451,ALL
A2_1_1.5_2.0_None,2771,-0.14688891013704997,-0.07592158703656178,31.8657524359437,-407.0291699897655,-465.6968999931654,-0.8740216436822729,4.8191304347826085,0.0671691420534601,2.679801981938932,IS
A2_1_1.5_2.0_None,1520,-0.05574461895821402,0.012000305743726212,35.19736842105263,-84.73182081648531,-93.24387859050407,-0.9087118864778152,4.293785310734464,0.06515822127031967,2.7625070810686694,OOS
A2_1_1.5_2.0_None,4291,-0.1146028876267189,-0.04477703401254925,33.04591004427872,-491.7609908062508,-509.8077265051027,-0.9646008980237154,4.604077253218884,0.06649424606798485,2.7070011413613884,ALL
A2_1_1.5_2.0_skip_up30d,1884,-0.13777606062615505,-0.062089162864653505,32.430997876857745,-259.57009821967614,-320.95130282192497,-0.8087522809143876,3.276521739130435,0.07218477564750621,2.4936017464141242,IS
A2_1_1.5_2.0_skip_up30d,1384,-0.05672057352758051,0.011520957726573827,35.332369942196536,-78.50127376217142,-95.79853107521515,-0.81944130960147,3.9318181818181817,0.06571054619196673,2.739286522536744,OOS
A2_1_1.5_2.0_skip_up30d,3268,-0.10344901223434748,-0.030915231745235316,33.65973072215422,-338.07137198184756,-367.61678181857303,-0.919629866486055,3.513978494623656,0.06979226804391393,2.57908240776451,ALL
A2_1_2.5_1.0_None,2771,-0.05789499268869542,-0.015314598828402498,49.44063514976543,-160.427024740375,-210.31687190092953,-0.7627872328566426,4.8191304347826085,0.04030148523207606,4.466336636564886,IS
A2_1_2.5_1.0_None,1520,-0.04934744903609372,-0.008700494214929577,49.276315789473685,-75.00812253486245,-81.63847568143366,-0.9187839668584222,4.293785310734464,0.03909493276219181,4.604178468447783,OOS
A2_1_2.5_1.0_None,4291,-0.0548671981531665,-0.012971685984664711,49.38242833838266,-235.43514727523745,-257.2521345570722,-0.9151922011477241,4.604077253218884,0.03989654764079091,4.511668568935647,ALL
A2_1_2.5_1.0_skip_up30d,1884,-0.02776386801870781,0.017648270638193134,51.11464968152867,-52.30712734724551,-139.91210214429455,-0.3738570612948119,3.276521739130435,0.04331086538850372,4.156002910690207,IS
A2_1_2.5_1.0_skip_up30d,1384,-0.04200646688022812,-0.0010615481277355102,49.783236994219656,-58.13695016223571,-62.93920648139436,-0.9237000815925721,3.9318181818181817,0.03942632771518004,4.5654775375612395,OOS
A2_1_2.5_1.0_skip_up30d,3268,-0.03379561735296243,0.00972465094050487,50.55079559363526,-110.44407750948123,-143.40118989665203,-0.7701754608108713,3.513978494623656,0.041875360826348365,4.298470679607517,ALL
A2_1_2.5_1.5_None,2771,-0.0851907829715298,-0.04261038911123686,41.53735113677372,-236.06365961410904,-334.8448349159444,-0.7049941793886944,4.8191304347826085,0.04030148523207606,4.466336636564886,IS
A2_1_2.5_1.5_None,1520,-0.05300261409695209,-0.012355659275787936,42.368421052631575,-80.56397342736717,-86.59905151293019,-0.9303101133311845,4.293785310734464,0.03909493276219181,4.604178468447783,OOS
A2_1_2.5_1.5_None,4291,-0.07378877488731675,-0.03189326271881495,41.83174085294803,-316.62763304147614,-334.8448349159444,-0.945595093682597,4.604077253218884,0.03989654764079091,4.511668568935647,ALL
A2_1_2.5_1.5_skip_up30d,1884,-0.05483655184729246,-0.009424413190391523,43.09978768577495,-103.312063680299,-202.21550878190607,-0.510900792439829,3.276521739130435,0.04331086538850372,4.156002910690207,IS
A2_1_2.5_1.5_skip_up30d,1384,-0.044252245957362206,-0.003307327204869599,42.99132947976879,-61.245108404989296,-78.7735247797954,-0.7774834067181166,3.9318181818181817,0.03942632771518004,4.5654775375612395,OOS
A2_1_2.5_1.5_skip_up30d,3268,-0.05035409182536361,-0.006833823531896312,43.053855569155445,-164.55717208528827,-202.21550878190607,-0.8137712734128956,3.513978494623656,0.041875360826348365,4.298470679607517,ALL
A2_1_2.5_2.0_None,2771,-0.11721367420021027,-0.07463328033991737,38.21725009022014,-324.79909120878267,-432.2718202876308,-0.7513769715376392,4.8191304347826085,0.04030148523207606,4.466336636564886,IS
A2_1_2.5_2.0_None,1520,-0.05541078051161506,-0.014763825690450915,40.328947368421055,-84.2243863776549,-94.39103891793202,-0.8922921851817259,4.293785310734464,0.03909493276219181,4.604178468447783,OOS
A2_1_2.5_2.0_None,4291,-0.09532124856360698,-0.05342573639510521,38.9652761594034,-409.02347758643754,-432.2718202876308,-0.9462182321167177,4.604077253218884,0.03989654764079091,4.511668568935647,ALL
A2_1_2.5_2.0_skip_up30d,1884,-0.06897406257931925,-0.02356192392241831,40.3927813163482,-129.94713389943746,-240.90621513397767,-0.539409636348189,3.276521739130435,0.04331086538850372,4.156002910690207,IS
A2_1_2.5_2.0_skip_up30d,1384,-0.05014515681914351,-0.009200238066650912,40.895953757225435,-69.40089703769462,-81.77641532851278,-0.8486664126679662,3.9318181818181817,0.03942632771518004,4.5654775375612395,OOS
A2_1_2.5_2.0_skip_up30d,3268,-0.06100000946668668,-0.01747974117321939,40.60587515299878,-199.34803093713208,-240.90621513397767,-0.8274922704931734,3.513978494623656,0.041875360826348365,4.298470679607517,ALL
A2_3_1.5_1.0_None,3449,-0.08625412905871697,-0.014548072500993093,49.2606552623949,-297.49049112351486,-340.9276676829412,-0.8725912248347576,5.987847222222222,0.06876572286974057,2.617583186625768,IS
A2_3_1.5_1.0_None,1944,-0.08046136332505026,-0.011343527573722223,49.48559670781893,-156.4168903038977,-160.11830536952158,-0.9768832485637308,5.476056338028169,0.0664495083010609,2.708824630135882,OOS
A2_3_1.5_1.0_None,5393,-0.0841660265951071,-0.013392938931808124,49.34173929167439,-453.9073814274126,-464.6249300464448,-0.9769329023779226,5.786480686695279,0.06798071216434476,2.647809860609379,ALL
A2_3_1.5_1.0_skip_up30d,2269,-0.09259904653284115,-0.016825166177137585,49.140590568532396,-210.10723658301657,-274.18750141218226,-0.7662903505844538,3.939236111111111,0.07290927157674336,2.468821812470508,IS
A2_3_1.5_1.0_skip_up30d,1758,-0.08536204179021813,-0.015956665303365154,49.26052332195677,-150.06646946720346,-151.02825200647158,-0.9936317707019022,4.980169971671388,0.06697994702355678,2.6873717763239937,OOS
A2_3_1.5_1.0_skip_up30d,4027,-0.08943970848031291,-0.016446019284638968,49.192947603675194,-360.17370605022006,-388.7947104126358,-0.9263853041312221,4.325456498388829,0.07046870613929228,2.5543253149022234,ALL
A2_3_1.5_1.5_None,3449,-0.10268746289940531,-0.030981406341681443,38.90982893592346,-354.1690595400489,-407.5705810939702,-0.8689760153674857,5.987847222222222,0.06876572286974057,2.617583186625768,IS
A2_3_1.5_1.5_None,1944,-0.08195286865007381,-0.012835032898745767,39.711934156378604,-159.31637665574348,-181.88628590983757,-0.8759119790632145,5.476056338028169,0.0664495083010609,2.708824630135882,OOS
A2_3_1.5_1.5_None,5393,-0.09521332026623262,-0.024440232602933636,39.19896161691081,-513.4854361957925,-530.9659195822614,-0.9670779559633098,5.786480686695279,0.06798071216434476,2.647809860609379,ALL
A2_3_1.5_1.5_skip_up30d,2269,-0.11651596851121336,-0.04074208815550977,38.475099162626705,-264.3747325519431,-334.62646566474115,-0.7900592441986267,3.939236111111111,0.07290927157674336,2.468821812470508,IS
A2_3_1.5_1.5_skip_up30d,1758,-0.07777447698818393,-0.008369100501330985,39.93174061433447,-136.72753054522735,-139.55700589290274,-0.9797253077366338,4.980169971671388,0.06697994702355678,2.6873717763239937,OOS
A2_3_1.5_1.5_skip_up30d,4027,-0.09960324387811532,-0.026609554682441413,39.11100074497144,-401.1022630971704,-429.2760164630624,-0.9343691417982671,4.325456498388829,0.07046870613929228,2.5543253149022234,ALL
A2_3_1.5_2.0_None,3449,-0.1356577145935632,-0.06395165803583933,32.12525369672369,-467.88345763319955,-514.7788621051544,-0.9089018451919739,5.987847222222222,0.06876572286974057,2.617583186625768,IS
A2_3_1.5_2.0_None,1944,-0.05931526794988255,0.009802567801445472,34.77366255144033,-115.30888089457169,-169.18949643261283,-0.6815368762593281,5.476056338028169,0.0664495083010609,2.708824630135882,OOS
A2_3_1.5_2.0_None,5393,-0.1081387610843262,-0.03736567342102722,33.07991841275727,-583.1923385277712,-595.283752761867,-0.9796879821127374,5.786480686695279,0.06798071216434476,2.647809860609379,ALL
A2_3_1.5_2.0_skip_up30d,2269,-0.1438000981972128,-0.0680262178415092,32.12869105332746,-326.2824228094758,-380.12554013721586,-0.8583543812701876,3.939236111111111,0.07290927157674336,2.468821812470508,IS
A2_3_1.5_2.0_skip_up30d,1758,-0.05702725784685044,0.012378118640002494,34.98293515358362,-100.25391929476308,-122.34099612160851,-0.8194629966483958,4.980169971671388,0.06697994702355678,2.6873717763239937,OOS
A2_3_1.5_2.0_skip_up30d,4027,-0.10591913138918274,-0.03292544219350881,33.37472063570897,-426.5363421042389,-438.8358366677635,-0.9719724472437825,4.325456498388829,0.07046870613929228,2.5543253149022234,ALL
A2_3_2.5_1.0_None,3449,-0.05909044002918964,-0.016066806094555307,49.289649173673524,-203.80292766067507,-241.83075014655708,-0.8427502604080087,5.987847222222222,0.04125943372184434,4.36263864437628,IS
A2_3_2.5_1.0_None,1944,-0.0734883778690274,-0.03201767641823056,48.30246913580247,-142.86140657738926,-160.0552190353757,-0.8925757462854977,5.476056338028169,0.039869704980636536,4.514707716893136,OOS
A2_3_2.5_1.0_None,5393,-0.06428042541035868,-0.02181657281237927,48.93380307806416,-346.6643342380643,-353.8634650260369,-0.9796556256875999,5.786480686695279,0.04078842729860685,4.4130164343489655,ALL
A2_3_2.5_1.0_skip_up30d,2269,-0.054218596982114044,-0.008754268768691906,49.669457910973996,-123.02199655241677,-170.2675723384264,-0.7225215868344936,3.939236111111111,0.04374556294604602,4.114703020784178,IS
A2_3_2.5_1.0_skip_up30d,1758,-0.06720523385173045,-0.025562007959618674,48.69169510807736,-118.14680111134214,-121.19210786337058,-0.9748720704201164,4.980169971671388,0.04018796821413407,4.478952960539989,OOS
A2_3_2.5_1.0_skip_up30d,4027,-0.059887955714864397,-0.016091742197460037,49.242612366525954,-241.16879766375894,-252.74190223604543,-0.9542097908186276,4.325456498388829,0.04228122368357537,4.257208858170372,ALL
A2_3_2.5_1.5_None,3449,-0.09701254987553234,-0.053988915940898004,40.678457523919974,-334.59628452071104,-387.97082066430335,-0.8624264163675976,5.987847222222222,0.04125943372184434,4.36263864437628,IS
A2_3_2.5_1.5_None,1944,-0.08696611578677281,-0.04549541433597599,40.63786008230453,-169.06212908948635,-205.70220624365146,-0.82187805457582,5.476056338028169,0.039869704980636536,4.514707716893136,OOS
A2_3_2.5_1.5_None,5393,-0.09339113918230992,-0.050927286584330524,40.66382347487484,-503.6584136101974,-509.98160400723583,-0.9876011402227977,5.786480686695279,0.04078842729860685,4.4130164343489655,ALL
A2_3_2.5_1.5_skip_up30d,2269,-0.08152942821688998,-0.03606510000346784,41.56015866020273,-184.99027262412335,-243.16860336682913,-0.7607490032134554,3.939236111111111,0.04374556294604602,4.114703020784178,IS
A2_3_2.5_1.5_skip_up30d,1758,-0.08171960077585134,-0.040076374883739566,41.069397042093286,-143.66305816394666,-157.37602147410539,-0.9128649766227884,4.980169971671388,0.04018796821413407,4.478952960539989,OOS
A2_3_2.5_1.5_skip_up30d,4027,-0.08161244866850509,-0.03781623515110074,41.345915073255526,-328.65333078807,-329.38175105200753,-0.9977885227047004,4.325456498388829,0.04228122368357537,4.257208858170372,ALL
A2_3_2.5_2.0_None,3449,-0.11835202155176545,-0.07532838761713112,37.63409683966367,-408.19612233203907,-470.3441020975971,-0.8678669946356375,5.987847222222222,0.04125943372184434,4.36263864437628,IS
A2_3_2.5_2.0_None,1944,-0.08927066620611736,-0.04779996475532055,38.2201646090535,-173.54217510469215,-227.52272551293063,-0.7627465551560006,5.476056338028169,0.039869704980636536,4.514707716893136,OOS
A2_3_2.5_2.0_None,5393,-0.10786914471291141,-0.06540529211493201,37.845355089931395,-581.7382974367313,-589.720547504993,-0.9864643514592917,5.786480686695279,0.04078842729860685,4.4130164343489655,ALL
A2_3_2.5_2.0_skip_up30d,2269,-0.08470109980082122,-0.03923677158739909,39.26840017628911,-192.18679544806335,-264.1202769676592,-0.727648772955043,3.939236111111111,0.04374556294604602,4.114703020784178,IS
A2_3_2.5_2.0_skip_up30d,1758,-0.08901320959349605,-0.04736998370138427,38.56655290102389,-156.48522246536606,-179.42464379274023,-0.8721501080204328,4.980169971671388,0.04018796821413407,4.478952960539989,OOS
A2_3_2.5_2.0_skip_up30d,4027,-0.0865835654118275,-0.04278735189442315,38.96200645641917,-348.6720179134294,-353.8789774947032,-0.9852860443473173,4.325456498388829,0.04228122368357537,4.257208858170372,ALL
