ts,regime_june,ret_30d_june,regime_backonly,ret_30d_backonly,r_outcome,june_gate_source_close_ts,june_lookahead_hours,backonly_gate_source_close_ts,backonly_lookahead_hours,gate_flips
2026-04-16 16:00:00+00:00,flat_30d,0.0167098943583803,flat_30d,-0.0009379208619252,1.4100000000000004,2026-04-16 23:00:00+00:00,7.0,2026-04-15 23:00:00+00:00,-17.0,False
2026-04-18 10:00:00+00:00,flat_30d,0.0825098658699565,flat_30d,0.0818463854702549,-1.09,2026-04-18 23:00:00+00:00,13.0,2026-04-17 23:00:00+00:00,-11.0,False
2026-04-21 19:00:00+00:00,bull_30d,0.1246870881283666,bull_30d,0.1002968866822007,1.41,2026-04-21 23:00:00+00:00,4.0,2026-04-20 23:00:00+00:00,-20.0,False
2026-04-23 10:00:00+00:00,bull_30d,0.1090821693071428,bull_30d,0.1026431612383389,0.1597321067333363,2026-04-23 23:00:00+00:00,13.0,2026-04-22 23:00:00+00:00,-11.0,False
2026-04-27 05:00:00+00:00,bull_30d,0.1657712090787941,bull_30d,0.1845769255110436,-1.0899999999999994,2026-04-27 23:00:00+00:00,18.0,2026-04-26 23:00:00+00:00,-6.0,False
2026-04-29 18:00:00+00:00,bull_30d,0.134585198099586,bull_30d,0.1564190433463328,1.41,2026-04-29 23:00:00+00:00,5.0,2026-04-28 23:00:00+00:00,-19.0,False
2026-05-04 10:00:00+00:00,bull_30d,0.1866346568357837,bull_30d,0.1733004631704766,1.409999999999991,2026-05-04 23:00:00+00:00,13.0,2026-05-03 23:00:00+00:00,-11.0,False
2026-05-06 14:00:00+00:00,bull_30d,0.1826879343891634,bull_30d,0.1719472621630513,-1.09,2026-05-06 23:00:00+00:00,9.0,2026-05-05 23:00:00+00:00,-15.0,False
2026-05-07 17:00:00+00:00,bull_30d,0.1123824944150941,bull_30d,0.1826879343891634,0.3551409248588096,2026-05-07 23:00:00+00:00,6.0,2026-05-06 23:00:00+00:00,-18.0,False
2026-05-11 03:00:00+00:00,bull_30d,0.1189603552224662,bull_30d,0.1269971227717938,0.2344998971415327,2026-05-11 23:00:00+00:00,20.0,2026-05-10 23:00:00+00:00,-4.0,False
2026-05-13 13:00:00+00:00,flat_30d,0.0659178597835585,bull_30d,0.1378835854625368,-0.6489823393985439,2026-05-13 23:00:00+00:00,10.0,2026-05-12 23:00:00+00:00,-14.0,True
2026-05-15 05:00:00+00:00,flat_30d,0.0574755069126273,flat_30d,0.0936754877076224,-1.09,2026-05-15 23:00:00+00:00,18.0,2026-05-14 23:00:00+00:00,-6.0,False
2026-06-02 22:00:00+00:00,bear_30d,-0.1502502260311476,flat_30d,-0.0923220885688893,-1.09,2026-06-02 23:00:00+00:00,1.0,2026-06-01 23:00:00+00:00,-23.0,True
2026-06-04 02:00:00+00:00,bear_30d,-0.2103400983652374,bear_30d,-0.1967827565169788,-1.09,2026-06-04 23:00:00+00:00,21.0,2026-06-03 23:00:00+00:00,-3.0,False
2026-06-17 21:00:00+00:00,bear_30d,-0.1622892499272379,bear_30d,-0.1522089515229159,-1.09,2026-06-17 23:00:00+00:00,2.0,2026-06-16 23:00:00+00:00,-22.0,False
2026-06-23 07:00:00+00:00,bear_30d,-0.1860774266749578,bear_30d,-0.1658732558867082,-1.0899999999999996,2026-06-23 23:00:00+00:00,16.0,2026-06-22 23:00:00+00:00,-8.0,False
2026-07-01 07:00:00+00:00,bear_30d,-0.1595694165271776,bear_30d,-0.2043061265498308,1.410000000000003,2026-07-01 23:00:00+00:00,16.0,2026-06-30 23:00:00+00:00,-8.0,False
2026-07-15 18:00:00+00:00,flat_30d,-0.0236023045625086,flat_30d,-0.0104623748708185,-1.09,2026-07-15 23:00:00+00:00,5.0,2026-07-14 23:00:00+00:00,-19.0,False
2026-08-21 12:00:00+00:00,bull_30d,0.1850292061378289,flat_30d,0.0973551766021671,-1.0899999999999996,2026-08-21 23:00:00+00:00,11.0,2026-08-20 23:00:00+00:00,-13.0,True
2026-09-04 14:00:00+00:00,bull_30d,0.231800958939504,bull_30d,0.2677341573612379,0.3114630930344627,2026-09-04 23:00:00+00:00,9.0,2026-09-03 23:00:00+00:00,-15.0,False
