strategy,first,last,years,n,trades_yr,win_n,win_pct,profit_factor,mean_pct,total_pct,ann_pct,maxdd_pct,mar,note
R4 — all four windows,2020-01-01,2026-09-07,6.68,963,144.1,539,56.0,1.63,0.441,425.1,63.6,71.7,0.89,"15 bp RT, no stop"
R4 — post-ETF only,2024-01-12,2026-09-07,2.65,380,143.2,216,56.8,1.76,0.482,183.3,69.1,31.6,2.19,the era the bot trades
  R4 — BTC Mon 06-18,2020-01-06,2026-09-07,6.67,161,24.1,90,55.9,1.33,0.259,41.7,6.3,22.6,0.28,
  R4 — ETH Tue 20-Wed 20,2020-01-07,2026-09-01,6.65,160,24.1,91,56.9,2.04,1.027,164.4,24.7,26.9,0.92,
  R4 — BTC V2 Wed+Fri 04-14,2020-01-01,2026-09-04,6.67,321,48.1,174,54.2,1.54,0.287,92.2,13.8,21.5,0.64,
  R4 — ETH V2 Wed+Fri 04-14,2020-01-01,2026-09-04,6.67,321,48.1,184,57.3,1.58,0.395,126.8,19.0,23.1,0.82,
"SqueezeBull — OI flush, bull-gated",2022-03-01,2026-09-04,4.51,114,25.3,69,60.5,1.74,0.546,62.3,13.8,7.4,1.86,"18 bp RT, 2% stop / 3% target / 48h"
"SqueezeBull — OI flush, all regimes",2022-02-01,2026-09-04,4.59,423,92.2,199,47.0,1.0,0.001,0.4,0.1,39.7,0.0,"the ungated pool, for contrast"
"  SqueezeBull — bull-gated, OOS only",2026-04-21,2026-09-04,0.37,10,27.1,7,70.0,1.62,0.404,4.0,10.9,3.2,3.44,2026-04-14 onward
"PDO — shipped -10%, BTC+ETH",2020-01-13,2026-09-01,6.63,226,34.1,115,50.9,1.23,0.134,30.2,4.6,28.2,0.16,18 bp RT
  PDO — BTC,2020-01-31,2026-05-15,6.29,88,14.0,48,54.5,1.61,0.353,31.1,4.9,13.6,0.36,
  PDO — ETH,2020-01-13,2026-09-01,6.63,138,20.8,67,48.6,0.99,-0.006,-0.8,-0.1,22.6,-0.01,
PDO — CDO retouch (KILLED),2020-01-03,2026-09-04,6.67,1855,278.1,679,36.6,0.76,-0.164,-304.2,-45.6,308.9,-0.15,"18 bp RT, 1% stop / 2% target; shown for contrast"
