expiry,call_inst,call_mark,entry,expiry_ts,hedge_costs,hedge_pnl,n_calls,n_puts,n_rebal,n_skip,pnl_pct,put_inst,put_mark,split,spot_entry,status,strike_call,strike_put,terminal
2024-11-06,,,2024-10-16,1730880000,,,8,5,,,,,,,67592.0,no_pair,,,
2024-11-08,BTC-8NOV24-75000-C,1458.833957,2024-10-18,1731052800,17.228051054087114,173.90233312703126,25,20,3,0,2.1846803191491966,BTC-8NOV24-63000-P,1203.8929,TRAIN,68407.8,ok,75000.0,63000.0,1203.98291
2024-11-15,BTC-15NOV24-73000-C,1524.68100843,2024-10-25,1731657600,66.14090513217464,13808.960938939696,30,45,3,0,1.6132421450413443,BTC-15NOV24-60000-P,892.850244,TRAIN,66662.8,ok,73000.0,60000.0,14972.395284
2024-11-16,,,2024-10-26,1731744000,,,7,7,,,,,,,67071.8,no_pair,,,
2024-11-19,,,2024-10-29,1732003200,,,5,5,,,,,,,72739.5,no_pair,,,
2024-11-21,,,2024-10-31,1732176000,,,7,7,,,,,,,70321.9,no_pair,,,
2024-11-22,BTC-22NOV24-76000-C,1858.208968,2024-11-01,1732262400,85.058404236818,15826.420885023801,29,41,3,0,-7.075476767564831,BTC-22NOV24-62000-P,1049.727225,TRAIN,69495.5,ok,76000.0,62000.0,23437.501245
2024-11-26,,,2024-11-05,1732608000,,,6,7,,,,,,,69353.1,no_pair,,,
2024-11-27,,,2024-11-06,1732694400,,,5,7,,,,,,,75579.9,no_pair,,,
2024-11-29,BTC-29NOV24-84000-C,1233.20624,2024-11-08,1732867200,86.39285475245651,5753.436644796968,53,60,3,0,-5.854978801153066,BTC-29NOV24-69000-P,693.00135,TRAIN,76482.2,ok,84000.0,69000.0,11967.592429
2024-12-04,,,2024-11-13,1733299200,,,5,6,,,,,,,90413.3,no_pair,,,
2024-12-06,BTC-6DEC24-100000-C,2117.2705775,2024-11-15,1733472000,41.81665215269971,913.9784682712525,20,24,3,0,4.510168264967458,BTC-6DEC24-82000-P,1274.58576325,TRAIN,91074.6,ok,100000.0,82000.0,0.0
2024-12-07,,,2024-11-16,1733558400,,,8,7,,,,,,,90643.3,no_pair,,,
2024-12-08,,,2024-11-17,1733644800,,,5,5,,,,,,,89899.9,no_pair,,,
2024-12-10,,,2024-11-19,1733817600,,,7,5,,,,,,,92335.9,no_pair,,,
2024-12-13,BTC-13DEC24-108000-C,2642.62019255,2024-11-22,1734076800,17.145198230073674,36.6690639065836,18,19,3,0,4.272520795169105,BTC-13DEC24-90000-P,1755.59254992,TRAIN,98921.4,ok,108000.0,90000.0,0.0
2024-12-14,,,2024-11-23,1734163200,,,7,6,,,,,,,97725.5,no_pair,,,
2024-12-17,,,2024-11-26,1734422400,,,6,7,,,,,,,92021.4,no_pair,,,
2024-12-20,BTC-20DEC24-108000-C,1907.700649,2024-11-29,1734681600,16.328535317941416,-85.52132214544977,21,22,3,0,2.945713360316797,BTC-20DEC24-88000-P,1219.011016,TRAIN,97516.3,ok,108000.0,88000.0,0.0
2024-12-21,,,2024-11-30,1734768000,,,8,8,,,,,,,96475.1,no_pair,,,
2024-12-23,,,2024-12-02,1734940800,,,5,5,,,,,,,95890.5,no_pair,,,
2024-12-27,BTC-27DEC24-110000-C,2482.1144,2024-12-06,1735286400,17.582979583500613,-14.703855478811718,59,67,3,0,3.5870654241604036,BTC-27DEC24-90000-P,1303.606533,TRAIN,99802.5,ok,110000.0,90000.0,0.0
2025-01-03,BTC-3JAN25-112000-C,1991.030418,2024-12-13,1735891200,36.693531791362965,-966.3194554455488,24,15,3,0,2.3050137500501506,BTC-3JAN25-92000-P,1514.6111912,TRAIN,101371.9,ok,112000.0,92000.0,0.0
2025-01-10,BTC-10JAN25-108000-C,1780.0047265,2024-12-20,1736496000,17.720669934559446,-687.4971431058387,22,18,3,0,2.455035616724597,BTC-10JAN25-88000-P,1481.87908125,TRAIN,97764.4,ok,108000.0,88000.0,0.0
2025-01-17,BTC-17JAN25-104000-C,2001.55725263,2024-12-27,1737100800,21.601779620115575,-315.00166843990917,19,17,3,0,3.1997986530450446,BTC-17JAN25-85000-P,1513.1373872,TRAIN,94258.9,ok,104000.0,85000.0,0.0
2025-01-18,,,2024-12-28,1737187200,,,6,5,,,,,,,95259.1,no_pair,,,
2025-01-20,,,2024-12-30,1737360000,,,6,6,,,,,,,92759.3,no_pair,,,
2025-01-21,,,2024-12-31,1737446400,,,13,11,,,,,,,93548.9,no_pair,,,
2025-01-22,,,2025-01-01,1737532800,,,7,6,,,,,,,94580.9,no_pair,,,
2025-01-24,BTC-24JAN25-108000-C,2067.8415065,2025-01-03,1737705600,52.36872067948353,-938.5613081459792,25,24,3,0,2.1967138422564996,BTC-24JAN25-88000-P,1237.1045,TRAIN,98145.7,ok,108000.0,88000.0,0.0
2025-01-28,,,2025-01-07,1738051200,,,7,7,,,,,,,96920.3,no_pair,,,
2025-01-30,,,2025-01-09,1738224000,,,6,5,,,,,,,92505.9,no_pair,,,
2025-01-31,BTC-31JAN25-104000-C,1963.427612,2025-01-10,1738310400,54.56371592455446,-163.0537832707912,43,59,3,0,2.7266408864327674,BTC-31JAN25-85000-P,1324.927567,TRAIN,94675.5,ok,104000.0,85000.0,333.820832
