expiry,call_inst,call_mark,entry,expiry_ts,hedge_costs_pct,hedge_pnl_pct,iv_call,iv_put,n_calls,n_puts,n_rebal,n_skip,naked_pnl_pct,pnl_pct,put_inst,put_mark,raw_premium_pct,split,spot_entry,spot_expiry,status,strike_call,strike_put,terminal
2024-11-06,,,2024-10-16,1730880000,,,,,8,5,,,,,,,,,67592.0,,no_pair,,,
2024-11-08,BTC-8NOV24-75000-C,1458.833957,2024-10-18,1731052800,0.02516510867264023,0.21575704243898372,0.5650275164283813,0.5071109275333582,25,20,3,0,2.180638548528092,2.1944575328500733,BTC-8NOV24-63000-P,1203.8929,3.892431648145387,TRAIN,68407.8,76171.0,ok,75000.0,63000.0,1171.0
2024-11-15,BTC-15NOV24-73000-C,1524.68100843,2024-10-25,1731657600,0.0971834042751704,16.647226826486488,0.5803791334386914,0.5201662433799354,30,45,3,0,-18.415621227386183,-2.0343730216567675,BTC-15NOV24-60000-P,892.850244,3.626507216063531,TRAIN,66662.8,87693.9,ok,73000.0,60000.0,14693.899999999994
2024-11-16,,,2024-10-26,1731744000,,,,,7,7,,,,,,,,,67071.8,,no_pair,,,
2024-11-19,,,2024-10-29,1732003200,,,,,5,5,,,,,,,,,72739.5,,no_pair,,,
2024-11-21,,,2024-10-31,1732176000,,,,,7,7,,,,,,,,,70321.9,,no_pair,,,
2024-11-22,BTC-22NOV24-76000-C,1858.208968,2024-11-01,1732262400,0.1226180744951684,23.22121624129227,0.6226637891260905,0.5739488604478536,29,39,3,0,-29.27479305422654,-6.361725440904125,BTC-22NOV24-62000-P,1049.727225,4.184351782489514,TRAIN,69495.5,99252.6,ok,76000.0,62000.0,23252.600000000006
2024-11-26,,,2024-11-05,1732608000,,,,,6,7,,,,,,,,,69353.1,,no_pair,,,
2024-11-27,,,2024-11-06,1732694400,,,,,5,7,,,,,,,,,75579.9,,no_pair,,,
2024-11-29,BTC-29NOV24-84000-C,1233.20624,2024-11-08,1732867200,0.11186526965700394,5.336883195177533,0.5034896804951132,0.44228406297042966,53,59,3,0,-12.766359244373197,-7.676896451550211,BTC-29NOV24-69000-P,693.00135,2.5185044232514233,TRAIN,76482.2,95690.2,ok,84000.0,69000.0,11690.199999999997
2024-12-04,,,2024-11-13,1733299200,,,,,5,6,,,,,,,,,90413.3,,no_pair,,,
2024-12-06,BTC-6DEC24-100000-C,2117.2705775,2024-11-15,1733472000,0.045615705791059745,0.40551079624926584,0.5934772904496639,0.5284036339493469,20,24,3,0,3.7242615841848328,3.912428827117494,BTC-6DEC24-82000-P,1274.58576325,3.7242615841848328,TRAIN,91074.6,98209.6,ok,100000.0,82000.0,0.0
2024-12-07,,,2024-11-16,1733558400,,,,,8,7,,,,,,,,,90643.3,,no_pair,,,
2024-12-10,,,2024-11-19,1733817600,,,,,7,5,,,,,,,,,92335.9,,no_pair,,,
2024-12-13,BTC-13DEC24-108000-C,2642.62019255,2024-11-22,1734076800,0.017272829543153703,-0.08155746768472617,0.6169290431076659,0.5498796565691009,18,19,3,0,4.446169122626651,4.153953751719972,BTC-13DEC24-90000-P,1755.59254992,4.446169122626651,TRAIN,98921.4,100100.0,ok,108000.0,90000.0,0.0
2024-12-14,,,2024-11-23,1734163200,,,,,7,6,,,,,,,,,97725.5,,no_pair,,,
2024-12-17,,,2024-11-26,1734422400,,,,,6,7,,,,,,,,,92021.4,,no_pair,,,
2024-12-20,BTC-20DEC24-108000-C,1907.700649,2024-11-29,1734681600,0.016748884558475983,-0.07876317357616261,0.5736954853637145,0.49819474215619264,21,22,3,0,3.2063477234062407,2.9546452335694147,BTC-20DEC24-88000-P,1219.011016,3.2063477234062407,TRAIN,97516.3,97826.1,ok,108000.0,88000.0,0.0
2024-12-21,,,2024-11-30,1734768000,,,,,8,8,,,,,,,,,96475.1,,no_pair,,,
2024-12-27,BTC-27DEC24-110000-C,2482.1144,2024-12-06,1735286400,0.017645043484473582,-0.06927054498742775,0.6253405966330319,0.5091191791463643,59,67,3,0,3.793212527742291,3.53250056343812,BTC-27DEC24-90000-P,1303.606533,3.793212527742291,TRAIN,99802.5,95074.4,ok,110000.0,90000.0,0.0
2025-01-03,BTC-3JAN25-112000-C,1991.030418,2024-12-13,1735891200,0.03589897970035075,-0.35730954874016624,0.5674168644705785,0.5176587283145635,24,15,3,0,3.458198582841991,2.9012440969162143,BTC-3JAN25-92000-P,1514.6111912,3.458198582841991,TRAIN,101371.9,96275.0,ok,112000.0,92000.0,0.0
2025-01-10,BTC-10JAN25-108000-C,1780.0047265,2024-12-20,1736496000,0.01812355412401647,-0.7078948126156529,0.5483848258620126,0.5468943746993318,22,16,3,0,3.336474020962641,2.4503614335940926,BTC-10JAN25-88000-P,1481.87908125,3.336474020962641,TRAIN,97764.4,94457.0,ok,108000.0,88000.0,0.0
2025-01-17,BTC-17JAN25-104000-C,2001.55725263,2024-12-27,1737100800,0.022885816299999202,-0.3975470834808893,0.5835872234776616,0.5544181623030453,19,17,3,0,3.7287668748839633,3.1364709688565555,BTC-17JAN25-85000-P,1513.1373872,3.7287668748839633,TRAIN,94258.9,101406.9,ok,104000.0,85000.0,0.0
2025-01-18,,,2024-12-28,1737187200,,,,,6,5,,,,,,,,,95259.1,,no_pair,,,
2025-01-20,,,2024-12-30,1737360000,,,,,5,6,,,,,,,,,92759.3,,no_pair,,,
2025-01-21,,,2024-12-31,1737446400,,,,,13,11,,,,,,,,,93548.9,,no_pair,,,
2025-01-22,,,2025-01-01,1737532800,,,,,7,6,,,,,,,,,94580.9,,no_pair,,,
2025-01-24,BTC-24JAN25-108000-C,2067.8415065,2025-01-03,1737705600,0.05339022543121842,-0.892124367158599,0.5732602623756973,0.5193198249675333,25,24,3,0,3.3673874724007264,2.2608512556388867,BTC-24JAN25-88000-P,1237.1045,3.3673874724007264,TRAIN,98145.7,104999.9,ok,108000.0,88000.0,0.0
2025-01-28,,,2025-01-07,1738051200,,,,,7,7,,,,,,,,,96920.3,,no_pair,,,
2025-01-30,,,2025-01-09,1738224000,,,,,6,5,,,,,,,,,92505.9,,no_pair,,,
2025-01-31,BTC-31JAN25-104000-C,1963.427612,2025-01-10,1738310400,0.05813271974910414,0.8285148108501809,0.5637025290634483,0.5371920864563438,43,59,3,0,3.304186594208633,3.9103699693060974,BTC-31JAN25-85000-P,1324.927567,3.4732905334537447,TRAIN,94675.5,104160.1,ok,104000.0,85000.0,160.10000000000582
2025-02-04,,,2025-01-14,1738656000,,,,,11,10,,,,,,,,,96514.9,,no_pair,,,
2025-02-07,BTC-7FEB25-114000-C,3028.224096,2025-01-17,1738915200,0.013275536890932109,0.05443394932725561,0.6569128290750087,0.5759999140398576,27,18,3,0,4.706958942259173,4.546908586427721,BTC-7FEB25-94000-P,1869.0136615,4.706958942259173,TRAIN,104042.5,96705.1,ok,114000.0,94000.0,0.0
2025-02-14,BTC-14FEB25-115000-C,2211.3902307,2025-01-24,1739520000,0.038326883541669694,-0.11729997156025462,0.5647025934187696,0.5243136235279963,24,16,3,0,3.407056947058481,3.0892183835448015,BTC-14FEB25-94000-P,1359.48142143,3.407056947058481,TRAIN,104808.1,96889.9,ok,115000.0,94000.0,0.0
2025-02-21,BTC-21FEB25-112000-C,1823.058051,2025-01-31,1740124800,0.03221255713306699,-0.6613497405119689,0.5136712822131813,0.48186942334286864,20,14,3,0,3.2856840037624653,2.4335511860045544,BTC-21FEB25-94000-P,1540.815375,3.2856840037624653,TRAIN,102379.7,98130.0,ok,112000.0,94000.0,0.0
2025-02-28,BTC-28FEB25-106000-C,1509.887028,2025-02-07,1740729600,0.011011950690745637,-0.1083287642468991,0.4989925729809328,0.5253169794566929,40,24,3,0,-4.33168730541344,-4.593823307289486,BTC-28FEB25-86000-P,1152.10564,2.7598428979467,TRAIN,96454.5,79159.9,ok,106000.0,86000.0,6840.100000000006
2025-03-07,BTC-7MAR25-108000-C,1330.881788,2025-02-14,1741334400,0.07256898757293402,-2.6138076066201847,0.4958770572906359,0.45455859825015066,22,11,3,0,2.3604894284063533,-0.4567018486389558,BTC-7MAR25-88000-P,969.299496,2.3604894284063533,TRAIN,97445.1,88308.8,ok,108000.0,88000.0,0.0
2025-03-21,,,2025-02-28,1742544000,,,,,12,13,,,,,,,,,84299.6,,no_pair,,,
2025-03-28,BTC-28MAR25-95000-C,1489.270772,2025-03-07,1743148800,0.018178289948590224,-0.24466404792017007,0.50837788132485,0.5244080672506244,46,34,3,0,3.63867100230768,3.2066685343696895,BTC-28MAR25-80000-P,1667.414592,3.63867100230768,TRAIN,86753.8,85175.1,ok,95000.0,80000.0,0.0
2025-03-29,,,2025-03-08,1743235200,,,,,5,5,,,,,,,,,86184.7,,no_pair,,,
2025-04-03,,,2025-03-13,1743667200,,,,,5,6,,,,,,,,,81085.4,,no_pair,,,
